#{"t_start": 1670177771.2771287, "env_id": null}
r,l,t
0,139,1.085173
1.719678,454,3.886779
0,404,6.317353
0,246,7.868816
0,918,12.957987
0,446,15.539903
0,366,17.780837
0.018289,239,19.339256
0,307,21.148726
0,501,24.026672
0,193,26.452262
0.028932,234,27.940708
0,126,28.898128
0,74,29.642519
0.569314,223,31.111757
0,147,32.216385
0.39986,214,33.703568
0,158,34.9787
0,106,35.905454
0,613,40.019425
0,120,41.073948
0.583271,229,42.737784
9.8e-05,386,45.390264
0,460,48.561773
0,175,50.085409
0,320,52.52859
0,748,58.352968
0,749,63.386345
0,190,64.853121
0,200,66.340347
0.10107,842,71.244812
0,147,72.428837
0,176,73.780114
0.012139,389,76.5461
0,178,78.18778
0,119,79.592111
1.101264,828,86.129602
0,376,88.722781
0,167,90.202062
0,87,91.095396
0.013874,240,92.982223
0.016858,144,94.161339
0,144,95.462884
0,208,97.299487
1.168857,361,99.837226
0.116875,962,105.689714
0.582575,425,108.436992
0,146,109.612427
0,1001,116.744095
0.197429,193,118.147108
0,81,118.945138
0,394,121.483645
0,110,122.41922
0,115,123.416671
1.366896,1001,129.35131
0.090715,129,130.514244
0,115,131.502112
0,534,134.884709
0,112,135.854863
0.032526,282,137.825633
0,160,139.126887
0,149,140.303614
0.406015,592,145.197871
0,146,146.377161
0,535,149.838648
0,1001,155.770877
0,279,157.811071
0,182,159.216307
0,344,161.93998
0,66,162.791682
0.050605,283,165.310051
0,166,166.743006
0,332,168.890476
0,843,175.006824
0.105928,610,178.694057
0,312,180.792489
0,85,181.563627
0,179,182.824166
0,240,184.501093
0,534,187.802993
0.000228,310,190.793457
0.000794,512,194.166981
0,1001,200.117154
0,175,202.840465
0,328,204.997184
0.005456,325,207.152083
0.002998,254,208.940578
0.027026,309,211.000707
0,107,212.079365
0.497622,399,214.737667
0.387046,418,217.59367
0,376,220.815613
0.600149,752,225.631383
0,457,228.6223
0.891136,473,232.722723
0,360,235.102961
0.001761,308,237.132917
0,1001,242.954397
1.322105,1001,248.756417
0,166,250.044545
0,591,253.650399
0.051634,235,255.278042
0,337,258.594821
1.825249,436,261.31269
0,509,264.341857
0,111,265.219788
3.241518,360,267.376484
0,177,268.607175
0,259,270.34136
0,241,271.939476
0,346,274.15383
0,169,275.390427
0,601,279.298612
0,490,282.48691
0,106,283.398005
0.618204,584,288.247126
0,353,290.650584
0.017395,718,294.765753
1.22643,336,296.841454
0.003932,159,298.012265
0,119,299.012148
0,127,300.034198
0.007201,211,301.439352
0,81,302.182304
0,237,303.76763
0,159,304.904409
0.176811,357,307.144351
1.214488,815,312.156192
0,171,315.192706
0,201,316.867345
0,116,318.123963
0,334,320.572919
0,185,322.057426
0.321458,124,323.186306
0,147,324.686162
0,390,327.718959
0.001289,177,329.205109
2.968896,621,333.511617
0,90,334.621714
0.285938,147,336.047284
0,156,337.341689
0,181,339.210734
0.698399,454,341.937111
0,112,342.872276
0,281,344.843336
0,178,346.145622
0,453,350.140686
0.006462,662,354.118634
0.000793,441,357.269468
0,321,359.507197
0,105,360.850464
0,875,371.153636
0,269,374.812378
0.218921,192,377.486181
0,847,388.057588
0.627223,505,394.573218
0.002198,86,395.366759
0,148,396.507883
0.009136,199,397.905737
0.454246,315,400.10604
0,213,401.669613
0,625,405.459807
1.700117,350,408.105185
0,149,409.518335
0,431,412.361377
0,372,415.144087
0,103,416.26949
0,215,418.153123
0,153,419.396843
0,173,420.737235
0.461695,362,424.069814
0.031164,423,426.831246
0,109,427.780378
0,405,430.222111
0,111,431.130664
0.218824,506,434.107558
0,137,435.140884
0.002232,404,437.553797
0,319,439.536534
0,1001,445.086738
0,372,447.323742
0,83,449.174491
0.160889,413,451.572575
0,283,453.345575
0,342,455.436325
0.009324,750,459.675055
0,81,460.41573
0,147,461.513014
0.134983,278,463.287066
0.224276,328,465.261292
0,435,467.817888
0,181,469.102381
0,109,470.011148
0,118,470.968501
0,271,472.662236
0,443,476.378713
0,310,478.275236
0,371,480.485905
0.000836,468,483.230373
0,677,486.962743
0,358,489.159086
0,273,490.913014
0,392,493.208096
0,296,495.006131
0,332,497.034597
0,83,497.797035
0,317,499.764615
0.119789,390,503.219607
0.863923,284,505.021152
0,433,507.550081
0,205,508.91606
0.106468,543,511.973544
0,329,513.979474
0,285,515.728699
0.002016,83,516.504738
0,336,518.624382
1.836741,406,521.070105
0,117,522.007626
0.004986,178,523.277155
0,115,524.20308
1.072253,349,526.334735
0,85,527.098025
0.130072,703,532.105702
0,162,533.279695
2.665626,470,535.978573
0,113,536.885065
0,436,539.489523
0,149,540.573305
0.000227,230,542.047289
0.376492,174,543.254321
0,339,545.30793
0,658,548.963058
1.079403,536,552.030696
0,176,553.259774
0.141936,110,555.219959
0,148,556.310093
0.000607,267,557.992702
0,185,559.298313
0,459,561.913402
0,311,563.795937
0.600121,228,565.284945
0,480,568.361872
0,197,569.802373
0.20333,733,573.862722
0,590,577.165263
0,150,578.297785
0.010272,319,581.45441
0.016014,256,583.071741
2.371508,1001,588.460942
0,980,593.730519
0.040274,270,595.431646
0.007408,269,597.115114
0.221659,1001,602.509609
