#{"t_start": 1670333328.5314822, "env_id": null}
r,l,t
0,34,0.636777
0,16,1.250988
0,30,1.863823
0,35,2.425003
0,29,3.017106
0,18,3.547776
0,29,4.110457
0,20,4.661244
0,31,5.222616
0,50,5.849376
0,56,6.505687
0,47,7.122493
0,25,7.685124
0,10,8.183929
0,31,8.721523
0,34,9.299487
0,11,9.797574
0,38,10.392472
0,23,10.937279
0,22,11.545589
0,31,12.123406
0,30,12.660472
0,49,13.286809
0.099568,55,13.927493
0,37,14.552487
0,36,15.128225
0,32,15.688696
0,30,16.250818
0,16,16.748632
0,48,17.405821
0,43,18.023733
0,48,18.655941
0,16,19.178244
0,37,19.753777
0,16,20.257688
0.00339,20,20.827072
0,14,21.31641
0,27,21.864329
0,24,22.377529
0,30,22.953502
0,44,23.586419
0,74,24.312485
0,26,24.874686
0,14,25.381557
0,21,25.897094
0,26,26.443014
0,23,26.971147
0,20,27.502544
0,31,28.080115
0,34,28.673317
0,30,29.241132
0,18,29.745466
0,58,30.394206
0,16,30.893384
0,42,31.638601
0,34,32.322183
0,18,32.994532
0,43,33.760978
0,32,34.373898
0,35,35.074121
0,19,35.654562
0,70,36.38522
0,23,36.921328
0,32,37.73023
0,58,38.518983
0,48,39.223515
0,22,39.936616
0,61,40.775408
0,29,41.456208
0,35,42.153035
0,37,42.858541
0,46,43.592235
0,15,44.158551
0,37,44.827435
0,29,45.498522
0,30,46.12878
0,14,46.727651
0,26,47.359474
0,34,48.075804
0,70,48.793304
0,13,49.284326
0,58,49.957067
0,41,50.653457
0,24,51.270737
0,26,51.968643
0,15,52.548758
0,80,53.336084
0,90,54.094467
0,16,54.601197
0,62,55.28885
0,49,55.915169
0,48,56.565416
0,62,57.228595
0,45,57.864479
0,44,58.472876
0,46,59.088611
0,34,59.666799
0,22,60.181638
0,20,60.688485
0,29,61.297703
0,15,61.797115
0,27,62.407782
0,41,63.162423
0,31,63.949616
0,16,64.539514
0,46,65.264183
0,17,65.908135
0,28,66.691885
0,74,67.519259
0,45,68.274951
0,10,68.769677
0,31,69.383964
0,15,69.969878
0,49,70.754664
0,28,71.346855
0,36,72.044041
0,34,72.69559
0,54,73.427027
