#{"t_start": 1671529813.5505974, "env_id": null}
r,l,t
0,1001,6.813526
0,22,7.475663
0,1001,14.080508
0,1001,20.653673
0,1001,29.426974
0,1001,37.910671
0,1001,46.092875
0,1001,54.115337
0,1001,62.159565
0,1001,70.2514
0,1001,78.845401
0,355,98.494825
0,931,137.113279
0,841,169.915625
0,149,176.337803
0,24,177.909123
0,21,179.262264
0,20,180.694019
0,324,194.600966
0,206,203.268249
0,20,204.735873
0,337,223.587727
0,674,257.291596
0,74,262.013876
0,18,263.833086
0,21,265.651197
0,474,287.613853
0,124,292.069744
0,23,293.309548
0,267,303.086012
0,845,333.438767
0,1001,367.902905
0,1001,406.847618
0,1001,440.389824
0,162,447.088404
0,499,464.535427
0,306,474.845533
0,17,475.861944
0,19,476.945719
0,711,498.645802
0,601,518.906352
0,411,534.233683
0,101,538.626162
0,157,544.097992
0,21,545.279971
0,19,546.426234
0,92,549.872144
0,20,551.094465
0,204,558.772532
0,22,560.030694
0,20,561.161914
0,576,579.526782
0,1001,615.22559
0,1001,650.363286
0,1001,682.721825
0,1001,748.88431
0,535,792.285079
0,1001,873.216685
0,883,941.330276
0,1001,1019.013372
0,160,1031.715141
0,241,1055.884918
0,193,1074.106233
0,71,1080.515095
0,20,1083.174004
0,70,1087.205167
0,130,1096.68286
0,361,1124.164145
0,1001,1193.984637
0,313,1216.579868
0,56,1221.646544
0,43,1225.925681
0,30,1229.204704
0,43,1233.450092
0,37,1237.390078
0,113,1246.173436
0,239,1263.715459
0,78,1270.629385
0,49,1275.75605
0,195,1290.830045
0,1001,1364.567662
0,687,1414.445359
0,815,1471.30415
0,340,1488.814224
0,19,1490.070434
0,476,1513.739456
0,400,1533.387402
0,159,1541.555473
0,590,1570.917321
0,1001,1605.873027
0,206,1613.081233
0,338,1624.449709
0,99,1628.443153
0,271,1637.243403
0,105,1641.167969
0,23,1642.406601
0,289,1652.184941
0,1001,1688.030676
0,180,1695.513196
0,165,1701.51996
0,854,1743.123236
0,1001,1783.316968
0,724,1808.854903
0,1001,1842.410031
0,294,1853.394111
0,1001,1887.385566
0,1001,1921.109558
0,1001,1955.004216
0,968,1986.685174
0,217,1994.25707
0,1001,2496.558031
0,1001,2529.739518
0,19,2530.821874
0,129,2535.390085
0,47,2537.553833
0,998,2575.314659
0,226,2585.584848
0,19,2586.809839
0,131,2591.502733
0,601,2611.968003
0,396,2625.484302
0,425,2639.263767
0,230,2647.839012
0,178,2654.496134
0,389,2667.465129
0,21,2668.694163
0,401,2682.614148
0,332,2710.752488
0,76,2718.301944
0,145,2732.25849
0,299,2756.873662
0,1001,2837.40565
0,61,2843.136887
0,279,2865.022803
0,48,2869.642045
0,126,2879.091053
0,417,2909.137408
0,552,2948.146094
0,284,2968.974504
0,21,2971.731268
0,329,2996.27108
0,175,3009.959738
0,177,3023.059644
0,179,3036.549514
0,1001,3106.913699
0,20,3109.583608
0,1001,3179.102561
0,65,3185.019454
0,183,3198.659707
0,912,3256.811162
0,774,3312.59976
0,1001,3384.031879
0,680,3433.67781
0,183,3448.599367
0,203,3465.173597
0,980,3536.482246
0,442,3568.874253
0,1001,3640.24601
0,256,3658.977556
0,62,3664.57782
0,454,3697.765881
0,18,3700.181934
0,22,3702.777463
0,1001,6493.765256
0,1001,6566.085266
0,394,6593.255629
0,786,6649.333095
0,478,6683.484893
0,25,6686.479351
0,790,6742.673325
0,368,6771.617055
0,341,6798.562109
0,456,6836.905647
0,732,6894.318669
0,23,6897.048728
0,526,6938.170562
0,1001,7016.17909
0,75,7022.94738
0,83,7030.168206
0,871,7095.182095
0,81,7102.321689
0,83,7109.488388
0,266,7132.508895
0,104,7141.976087
0,214,7160.573401
0,109,7169.78144
0,107,7179.321714
0,423,7212.175573
0,294,7235.952219
0,240,7256.89216
0,108,7265.844552
0,178,7280.276152
0,55,7285.592906
0,372,7313.758502
0,118,7324.147961
0,56,7329.500184
0,21,7331.991168
0,158,7344.03196
0,492,7386.019814
0,57,7391.779944
0,17,7393.861965
0,19,7396.129665
0,180,7411.284296
0,18,7413.889356
0,19,7415.989333
0,20,7418.555876
0,74,7424.822716
0,20,7427.14032
0,19,7429.451722
0,20,7431.714556
0,21,7434.140085
0,396,7465.459307
0,953,7539.855269
0,328,7566.2252
0,74,7573.23145
0,379,7602.38302
0,216,7619.701988
0,66,7625.451954
0,1001,7704.842007
0,89,7713.038087
0,71,7720.116239
0,461,7757.547982
0,155,7771.284972
0,472,7810.120471
0,1001,7891.450467
0,605,7939.171578
0,105,7947.761876
0,18,7949.998712
0,1001,8030.362658
0,17,8033.0101
0,17,8035.180929
0,18,8037.676752
0,18,8039.745684
0,214,8057.816042
0,19,8060.379462
0,441,8096.305139
0,199,8113.263385
0,1001,8192.109021
0,191,8207.430656
0,1001,8285.492481
0,192,8300.17612
0,359,8328.327723
0,1001,8407.749326
0,1001,8486.760347
0,1001,8566.637403
0,1001,8648.81548
0,887,8720.727328
0,142,8732.583462
0,1001,8817.349301
0,407,8849.718786
0,1001,8930.443592
0,700,8988.520266
0,1001,9069.456588
0,78,9076.930904
0,126,9088.612889
0,39,9092.930665
0,71,9099.075534
0,1001,9132.356699
0,749,9151.828347
0,17,9152.593052
0,582,9167.134413
0,282,9175.480308
0,18,9176.405205
0,185,9181.695314
0,69,9183.700465
0,50,9185.246768
0,156,9190.097842
0,99,9193.357743
0,297,9201.724005
0,128,9205.619194
0,197,9210.851579
0,283,9218.030657
0,186,9223.673469
0,50,9225.510895
0,407,9235.93431
0,120,9239.210013
0,316,9247.407925
0,377,9257.251775
0,115,9260.694172
0,1001,9286.736381
0,1001,9313.953986
0,1001,9339.176693
0,19,9340.031198
0,118,9343.359092
0,1001,9370.679064
0,785,9392.312344
0,50,9394.173781
0,1001,9423.690972
0,747,9442.623978
0,258,9450.667935
0,183,9456.24838
0,345,9465.01417
0,193,9470.265509
0,1001,9495.355633
0,1001,9525.76059
0,1001,9552.611031
0,1001,9578.153023
0,478,9590.414066
0,983,9656.70635
0,906,9735.540653
0,382,9769.110204
0,222,9789.014811
0,1001,9869.548757
0,207,9886.65994
0,110,9895.986957
0,352,9920.251514
0,508,9936.341844
0,17,9937.313668
0,95,9942.94768
0,534,9963.972729
0,124,9967.698426
0,128,9971.58577
0,745,9991.640316
0,273,10000.317226
0,258,10008.02905
0,19,10008.932862
0,1001,10038.727592
0,167,10045.118986
0,102,10049.51025
0,134,10054.075026
0,820,10077.522508
0,211,10083.952169
0,1001,10117.603802
0,405,10133.062373
0,657,10152.9218
0,19,10153.753696
0,18,10154.583651
0,599,10172.032556
0,91,10174.944688
0,174,10180.041348
0,18,10180.972933
0,19,10181.894293
0,18,10182.87586
0,17,10183.745476
0,20,10184.723845
0,518,10199.563123
0,1001,10228.94346
0,628,10246.963339
0,334,10256.481191
0,766,10277.71878
0,21,10278.651315
0,20,10279.580003
0,19,10280.60555
0,184,10286.379696
0,20,10287.635811
0,20,10288.98464
0,19,10291.273116
0,22,10293.907275
0,19,10296.541594
0,226,10303.904157
0,498,10317.503
0,509,10331.615037
0,545,10347.791366
0,666,10367.83778
0,415,10385.291283
0,17,10386.2885
0,181,10392.26879
0,19,10393.227156
0,348,10403.90078
0,547,10421.433031
0,1001,10449.522088
0,797,10472.370838
0,189,10478.165204
0,1001,10505.19781
0,700,10524.32923
0,868,10548.025232
0,656,10565.870011
0,1001,10594.67398
0,1001,10627.835479
0,20,10629.059178
0,1001,10658.581823
0,226,10665.178892
0,58,10667.311776
0,1001,10693.826099
0,399,10704.684934
0,1001,10734.733682
0,403,10751.03004
