#{"t_start": 1671362273.2976317, "env_id": null}
r,l,t
18.034407,56,0.983236
62.217396,1001,11.106944
29.169768,1001,20.527329
13.234771,47,21.430144
27.408196,96,22.78921
20.458225,53,23.806718
21.858356,49,24.760936
21.834849,98,26.122467
30.827105,88,27.414001
37.875638,218,29.889041
36.87223,118,31.462862
16.745379,50,32.389942
16.329066,52,33.372882
16.81722,45,34.278329
22.776253,70,35.46894
70.964652,815,43.376273
25.534761,58,44.423136
16.784232,48,45.368711
17.259962,50,46.326767
17.385274,49,47.271879
16.636171,50,48.273629
18.388586,46,49.204937
15.642446,47,50.131531
60.564972,614,56.15082
19.116011,50,57.101356
20.744585,51,58.064259
29.967259,94,59.42728
15.350048,45,60.337556
24.509287,77,61.540444
15.855508,51,62.488342
19.722641,52,63.428517
47.138256,505,68.763335
20.813807,52,69.749916
19.807643,58,70.773118
17.55053,50,71.718173
19.12005,52,72.708064
15.910325,45,73.640481
44.299824,246,76.352412
16.848073,47,77.288227
43.231556,1001,86.723306
57.336738,1001,96.292204
19.971567,46,97.209406
48.331701,578,102.835026
12.026782,47,103.756505
16.004212,46,104.710355
19.254633,57,105.726967
29.815402,1001,117.260923
21.381222,57,119.82406
15.150319,43,121.853664
57.296822,936,167.708114
46.835455,813,216.367387
16.0756,47,218.624238
24.942875,73,222.120428
23.334849,76,225.445842
20.181979,51,227.835138
22.472026,53,230.268278
26.760742,70,233.232379
18.751295,77,237.253292
16.862107,56,239.80255
75.169273,1001,275.882433
76.253201,1001,303.791908
14.930863,50,305.552105
22.852638,65,307.668053
20.629995,66,309.764513
16.013011,56,311.598213
79.246814,1001,337.793283
38.542577,417,349.489336
30.070185,159,354.166409
53.976213,1001,381.435777
13.641309,63,383.500012
51.479504,305,391.745763
22.35301,113,395.087682
25.662346,96,398.079156
17.389066,62,400.057414
23.885351,74,402.330595
9.807429,48,404.136656
61.246097,546,418.719616
31.064016,76,421.086406
33.141235,180,426.013269
55.935592,336,435.041405
15.200823,60,436.967939
31.445928,110,440.182182
67.159929,421,451.227593
14.588559,60,453.16012
49.748237,227,460.495625
22.766154,73,462.773847
28.264079,135,466.913139
17.966174,49,468.546904
49.503122,337,477.529722
16.515319,51,479.197091
20.921867,57,481.030059
27.997161,106,484.14817
40.22295,182,489.24954
73.318807,812,511.561218
