#{"t_start": 1670948141.0701337, "env_id": null}
r,l,t
0.965513,53,0.829991
2.37022,557,5.18316
3.114148,1001,12.395379
2.58665,1001,19.453412
3.024298,63,20.267566
0.815712,55,21.037289
1.558672,72,21.901712
1.304196,49,22.618454
2.046786,1001,29.645569
1.137275,43,30.395527
1.411344,100,31.542498
0.917645,1001,39.543792
0.948063,45,40.279576
2.644337,67,41.135144
3.343227,219,43.070162
1.447268,78,44.023974
1.124481,45,44.84764
1.234966,51,46.543675
0.930533,50,48.013242
1.284954,54,49.377636
0.97818,49,51.148586
1.149511,779,62.950365
2.942327,715,68.518922
1.440217,47,69.309577
1.039853,120,70.579069
1.491666,43,71.252988
1.081725,50,72.010872
1.584005,52,72.744608
4.250582,210,74.691286
1.193619,1001,82.694862
0.989103,57,83.47866
1.946935,1001,92.161149
2.181043,84,93.126877
5.011701,1001,117.344022
1.348353,63,119.428495
2.044662,57,121.417478
1.372402,785,145.001036
1.132814,1001,173.431494
1.463376,57,175.473857
1.146728,76,178.074588
5.347155,887,203.473457
3.55538,1001,230.788596
2.085546,51,232.614048
1.708218,46,234.219208
2.248736,241,241.157297
1.11596,58,243.248028
0.809606,45,245.217411
1.090763,401,256.406322
3.088959,984,283.004829
1.807882,412,294.684374
1.463778,171,299.81313
1.566358,633,317.611384
0.725087,43,319.237194
1.257114,67,321.442794
0.671357,307,330.050081
1.28253,51,331.851432
0.856446,260,339.314776
0.93777,46,340.946498
1.748937,264,348.919069
2.188397,243,355.932813
3.012816,278,363.744933
0.743766,52,365.569423
1.902124,57,367.546917
0.933937,49,369.313797
0.696425,50,371.021922
0.834257,197,376.686868
1.418108,53,378.558887
0.72081,52,380.452264
1.408426,135,384.495407
2.449776,92,387.38671
2.699906,61,389.432231
2.143741,47,391.033056
0.801383,46,392.727689
3.711007,97,395.670532
1.350159,59,397.631923
1.01044,150,402.067223
0.986285,165,407.374302
1.35078,42,408.928164
2.571443,214,415.119272
1.026308,157,419.761817
0.97098,54,421.682153
0.811718,117,426.074531
1.183398,65,428.313969
0.791345,67,430.638507
0.897478,45,432.301474
1.249674,131,436.650301
0.804967,63,438.852476
1.228498,53,440.733263
1.290504,46,442.363891
2.297379,70,444.804629
1.179486,91,447.749423
0.88144,47,449.51358
1.101282,48,451.283396
1.996417,42,452.866946
0.838831,56,454.864382
1.530486,51,456.696923
1.259267,46,458.347773
1.644982,126,462.351855
0.74771,256,470.549785
4.174346,637,489.227798
2.422055,44,490.89649
1.298426,57,493.064522
2.103534,49,494.93893
1.993033,57,496.972518
0.910275,56,499.277479
1.117334,47,501.220064
2.269645,52,503.167891
4.168085,332,514.327715
0.927059,559,531.029455
2.502439,166,536.346186
2.852611,288,545.131713
2.331828,245,552.625979
3.421461,210,558.985332
4.065151,142,563.652959
2.957847,483,578.083274
8.067475,711,599.161704
4.26563,352,609.609662
3.01368,114,613.285886
3.494138,67,615.571265
3.42745,208,622.145384
2.994091,222,629.088127
2.271904,255,637.124527
2.327035,128,641.37525
2.749545,416,654.452875
3.416584,67,656.900482
4.650489,141,661.439563
3.974114,829,686.480558
4.031605,357,697.515124
4.526233,189,703.847979
5.469842,1001,734.819417
4.998489,1001,765.27407
4.188429,247,773.307064
3.543455,126,777.420684
2.921816,89,780.477785
2.806287,140,785.022263
3.074788,409,797.512589
2.793925,611,815.986296
3.113517,818,841.198471
5.349759,566,858.465154
2.816243,1001,889.494914
4.571384,623,908.288548
5.038643,1001,938.491202
2.173556,698,960.181875
1.471379,460,974.375913
2.172471,352,985.191747
0.524022,359,996.32119
1.565556,64,998.640637
2.252919,421,1011.871222
0.868413,307,1021.750602
0.500884,62,1024.352387
1.93308,1001,1054.745571
0.563733,146,1059.534704
1.309658,269,1068.389079
2.76893,1001,1098.555603
2.485508,692,1119.617251
3.326654,289,1129.056987
2.288104,82,1131.903205
2.743679,71,1134.462941
1.490875,198,1140.665445
2.536107,508,1156.137264
2.650542,165,1161.447912
1.898949,979,1191.763617
1.820228,383,1203.732333
2.180901,411,1216.479333
1.462968,55,1218.609476
1.012762,102,1222.033233
2.001504,152,1226.945971
1.790092,235,1234.349428
2.418407,46,1236.10168
3.550425,215,1242.961894
2.06687,538,1260.123576
2.257776,269,1268.56019
2.29477,64,1270.841686
1.589392,552,1287.804528
1.236001,508,1303.284711
1.558052,52,1305.356023
1.169144,57,1307.735386
2.154594,51,1309.661926
1.638374,90,1312.805302
2.645004,431,1326.191694
2.937324,63,1328.427726
3.336671,1001,1358.632737
2.353851,238,1366.528549
3.875982,102,1370.075459
3.661768,558,1390.584745
3.811838,598,1414.510866
4.585374,1001,1452.966782
3.641625,69,1455.728203
2.322369,301,1468.193921
2.127853,180,1476.287027
3.046516,397,1493.573843
1.750294,1001,1534.396787
2.502718,301,1546.008835
3.548411,1001,1587.119501
7.171014,526,1606.550028
2.658829,469,1623.732916
1.810621,949,1659.442271
4.641349,1001,1701.187299
2.950877,260,1712.130986
6.117501,1001,1749.554937
4.393377,1001,1787.627704
1.328295,213,1797.037584
2.18219,308,1810.184814
1.89252,783,1839.368863
2.713733,656,1863.262619
2.30833,691,1892.540309
1.95497,49,1894.360438
1.845841,507,1908.981695
1.099254,592,1925.346972
5.145799,1001,1952.377648
3.14855,72,1954.728869
1.790925,141,1958.913375
1.539433,1001,1986.577142
6.412089,262,1993.819542
1.76301,1001,2020.859374
1.613503,891,2045.209194
2.788089,394,2056.036271
3.076877,1001,2083.604337
4.732586,1001,2111.835748
3.385731,305,2120.45301
2.384332,358,2131.19187
4.576055,1001,2161.038478
2.926303,1001,2191.356153
2.778158,1001,2221.5437
3.450172,232,2228.539048
2.122886,377,2240.200351
1.663484,1001,2270.080822
2.776574,1001,2299.285976
1.559837,70,2301.706835
1.494911,132,2305.964407
1.515218,162,2311.086667
1.783717,49,2312.932916
2.11233,59,2315.026833
3.025504,1001,2344.577062
1.578807,276,2352.679455
2.042159,59,2354.775276
2.061358,175,2360.303632
2.722691,942,2388.811239
5.384869,1001,2418.199113
1.374135,70,2420.681633
1.696335,767,2444.124715
5.081084,1001,2474.768357
1.554762,77,2477.562546
5.341488,1001,2508.19163
2.535723,812,2532.826073
1.624864,72,2535.449126
2.450834,1001,2565.861688
1.480565,1001,2596.240203
5.658013,1001,2626.86261
6.177489,919,2654.964602
1.431724,1001,2685.361787
3.23304,836,2711.101814
1.260778,533,2727.377652
2.008882,241,2734.9393
2.201951,1001,2765.985835
1.699209,182,2771.855667
4.331158,1001,2802.556872
1.400819,92,2805.744407
3.915561,1001,2836.04059
2.110647,1001,2866.654933
5.689624,1001,2897.076437
3.976734,1001,2927.614402
3.06221,1001,2957.646028
3.227089,1001,2988.233136
2.045728,1001,3018.598073
1.690737,74,3021.289801
1.644093,77,3024.026147
5.728026,1001,3054.656182
2.873216,150,3059.496562
1.888675,83,3062.363662
7.099787,1001,3095.804467
3.968407,1001,3135.069468
3.696808,1001,3171.366728
3.129445,95,3175.119976
5.71473,1001,3216.41885
6.178069,513,3235.611019
6.491218,326,3247.874807
3.890316,204,3256.832334
4.886449,334,3269.608949
5.699922,193,3276.608835
5.30706,1001,3312.198465
