#{"t_start": 1669906345.2131865, "env_id": null}
r,l,t
0.020684,60,0.950479
0.022907,82,2.033478
0.022107,73,2.997826
0.024374,134,4.39716
0.017737,67,5.301353
0.027666,67,6.20001
0.013201,65,7.128673
0.047023,61,8.037317
0.010611,63,8.892547
0.009665,49,9.716265
0.020391,117,10.948947
0.015471,63,11.843901
0.018622,65,12.77526
0.002971,239,14.888394
0.055808,193,16.678864
0.681838,137,18.095711
0.00271,49,18.872728
0.013634,45,19.658415
0.002019,50,20.447567
0.018977,63,21.440423
0,67,22.453022
0.11918,139,23.955088
0.352068,178,25.868577
0.01134,67,27.229852
0.007244,87,28.793369
0.014799,63,30.087327
0.022405,70,31.350799
0.061879,53,32.424745
0.023447,45,33.580348
0.026289,98,35.276811
0.00987,52,36.343264
0.014843,250,39.27887
0.520442,117,41.116496
0.011781,78,42.439698
0.012187,58,43.586757
0.028529,61,44.816837
0.011247,70,46.101202
0.014061,98,47.650408
0.020384,256,50.707391
0.010603,58,51.864617
0.00885,55,52.951746
0.00604,49,53.943864
0.01187,75,55.220971
0.047753,115,56.82739
0.017172,59,58.066282
0.010186,95,62.245188
0.028752,250,65.253479
0.020728,331,69.074904
3.465692,192,71.434577
0.004094,66,72.607557
0.082523,200,75.120744
0.017302,56,76.212878
0.035993,61,77.368177
0.227515,249,80.251769
1.796411,214,82.996478
0.036303,57,84.317901
0.915903,217,87.184643
0.014895,162,89.353228
0.006158,153,92.03188
0,54,93.280535
0,45,94.50427
0.136469,205,96.804543
0.013455,319,99.941571
0,65,101.108025
0.025695,172,103.282061
0.011715,46,104.257307
0.029611,70,105.468562
0.008042,58,106.475591
0,64,107.593183
1.76026,217,110.127822
0.035156,61,110.973222
0.033502,246,113.306406
0.018608,61,114.162911
0.006254,138,115.866068
0.043093,53,118.549619
0.01161,47,119.464842
0.024927,68,120.479
0.022209,49,121.248615
0.010152,55,122.060581
0.321634,257,124.318819
0.023604,64,125.202714
0.016444,208,127.086609
0.124965,126,128.390618
0.008439,63,129.244982
0.923638,144,130.818532
0.020547,261,133.105951
0.014978,44,133.846399
0.53839,232,135.933037
0.017521,45,136.736491
0.023924,189,138.534325
0.537449,240,140.623086
0.031585,60,141.473075
0.017703,184,143.575692
0.012509,184,145.47951
0.005207,52,146.416286
0.021254,44,147.339701
0.019416,37,148.160999
0.011433,53,149.02579
0.024354,61,149.960279
0.016663,59,150.793136
0.027422,63,151.705597
0.023867,45,152.435877
0.040147,302,155.476506
0.023373,68,156.474113
0,70,157.395984
0.009819,59,158.24795
0.018665,48,159.04148
0.021959,202,160.892151
0.013556,62,161.755363
0.014081,177,163.51722
0.019772,66,164.388415
0.011351,81,166.975769
0,77,168.235182
0.996583,285,170.913578
0.036136,64,171.903358
0,49,172.797369
0.011212,261,175.132161
0.01506,61,176.199305
0.020055,67,177.295782
0,57,178.292301
0.397314,214,180.478657
0,58,181.504916
0.014669,183,183.668271
0.012059,289,186.798138
0.045575,62,187.856985
0.016144,70,188.973785
0.005234,59,189.880714
0,115,191.112358
0.02771,232,193.237325
0.026274,259,195.6245
0.500841,179,197.60894
0.023946,65,198.592017
1.489305,228,201.044597
0.029908,69,202.073138
0.040051,66,203.085765
0.014457,47,204.087906
0.01049,76,205.505469
0.002237,64,206.679352
0.02148,70,207.783545
0.022876,68,208.94453
0.0084,50,209.756311
0.016806,63,210.812719
0.067835,92,211.915362
0.000697,48,212.69854
0.202845,188,214.740894
2.259581,175,216.547677
0.012651,43,217.291469
0.021836,42,219.725451
0.022788,122,221.117794
0.017997,63,222.016814
0.014494,49,222.913838
0.016227,82,224.114672
0.015922,82,225.326373
0.016018,109,226.760256
0.005098,157,228.379959
0.026408,122,229.78108
0.013859,62,230.747252
0.010654,63,231.847233
0.036278,51,232.824052
0.014744,214,235.036566
0.027223,64,236.023292
0.022255,64,236.947263
0.018796,67,238.487293
0.02935,70,240.213829
0.008194,63,241.643136
0.061364,370,245.738916
0.040983,112,247.42889
0.034166,58,248.333089
0.001737,53,249.150681
0.017305,58,250.300586
0.011841,61,251.69047
0.011698,63,253.045832
0.018359,85,254.59133
0.012109,117,256.37461
0.019815,118,258.273026
0.011364,460,263.458977
0.435517,218,266.326972
0.001247,51,267.434129
2.117946,199,270.618713
0.006283,353,275.230784
0.070126,96,276.932184
0.015363,42,277.982663
0.012038,80,282.054282
0.009977,76,283.42756
0.011959,150,285.767433
0.020299,222,288.587745
0.012786,58,289.819476
0.011766,57,291.038589
0.007598,75,292.508411
0.024455,304,296.224902
0.011441,54,297.346811
0.033178,60,298.512358
0,60,299.73549
0.020947,65,301.488411
0.005661,124,303.477976
0.02416,56,304.682048
0.021531,45,305.723177
0.008149,63,306.609159
0.637836,283,309.326885
0.00843,63,310.570747
0.000474,186,312.715557
0.022096,52,313.606032
0.210517,166,315.342111
0.882911,242,317.61615
0.033165,53,318.442956
0.026201,68,319.385677
0.018166,64,320.248486
0.981244,337,323.265731
0.011167,94,324.358788
0.010932,59,325.204823
0.029917,66,326.115103
0.008861,40,326.846493
0.022629,53,327.664412
0.004804,57,328.511767
0.003791,67,329.421571
0.018705,219,331.518329
0,55,332.413803
0.01191,122,333.908879
0.029737,71,335.06112
0,60,335.956371
0.015731,51,336.82952
0.003387,48,337.69245
0.032257,88,340.295593
0.002638,60,341.159518
0.024756,52,341.999987
0.005288,199,343.931636
0.025335,63,344.80826
0.009314,69,345.754566
0.018574,54,346.602184
0.01704,60,347.476095
0.008646,64,348.369611
0.128533,248,350.586704
0.019687,57,351.447569
0.02329,62,352.334863
0.010478,166,353.904
0.054903,66,354.831591
0.021405,57,355.678617
0.013789,131,357.061731
0.005726,50,357.846274
0,59,358.755373
0.01382,137,360.136391
0.002853,66,361.06088
3.82653,204,362.92638
0.023949,61,363.8218
0.011212,236,365.918957
0.030552,251,368.063324
0.04387,231,370.056295
0.001284,64,370.924697
0.018504,67,371.826056
0,203,373.68871
0.00622,131,374.990971
0.026427,63,375.901142
0.014766,173,377.531913
0.217866,205,379.348367
0.017817,166,380.888469
0,50,381.654141
0.023034,98,382.803087
0.018443,115,384.024955
0.864318,276,387.818797
0.034134,214,389.728204
0.019394,72,390.637691
0.03242,125,392.082883
0.870016,137,393.927189
2.18958,240,396.363652
0.212137,262,398.744961
0.008138,138,400.772171
0,65,402.011453
0.00815,61,403.166613
0.000165,61,404.315878
0.015369,55,405.496641
0.014673,60,406.762347
0.100571,137,409.192853
0.02762,73,410.9921
2.174965,239,414.296462
0.012639,111,415.692662
0.015022,177,417.569259
0.008784,122,419.136108
0.03608,60,420.346548
0.052104,142,421.847729
1.63358,288,424.681022
0.286212,246,427.834291
0.001778,94,430.56232
0.179062,191,433.66794
0.01918,101,434.852713
0.012167,64,435.816962
0.017313,66,436.780405
0.015922,57,437.729116
0.025001,283,441.976594
1.420545,168,443.72686
0.014563,78,444.743969
0.490686,274,447.272786
0.006354,60,448.135988
0.904585,190,450.071829
0.006344,55,450.98137
0.106976,392,454.727538
0,58,455.693708
0.010213,59,456.633558
2.234094,312,459.43578
0.019861,61,460.375864
0.004551,64,461.304285
0.018045,62,462.231657
0.006842,54,463.128551
0.00619,63,464.031695
0,145,465.623276
0.056491,176,467.399261
0.014275,41,468.151273
0.064919,283,471.184053
0.011265,118,472.542082
0.045122,236,474.839743
0.185674,162,476.584727
0.006721,71,477.537835
0.003861,79,478.527896
0.014801,57,479.355777
0.001824,60,480.215274
0.825247,192,482.031101
0.011863,67,482.990903
0.016337,44,483.740811
0.025791,148,485.20468
0.007288,60,486.083307
0.026031,113,488.866653
0.20119,198,490.80608
0.01324,214,493.056916
1.29513,185,495.243781
0.012449,61,496.345551
0.008365,66,497.237875
