#{"t_start": 1671382572.650349, "env_id": null}
r,l,t
50.20733,163,1.655057
31.792403,94,2.67048
25.812625,82,3.643355
27.671375,124,4.87828
37.748097,215,6.77732
66.011823,282,9.208397
27.788164,82,10.158615
20.12502,78,11.07529
45.688038,214,12.93853
26.767622,114,14.314568
22.094463,107,15.485734
34.552148,108,16.739695
54.954423,394,25.205036
23.597708,83,28.463515
51.852572,194,31.848405
34.037143,133,33.178326
27.712714,139,34.531428
21.814748,86,35.502192
31.967432,108,36.639615
44.098489,188,38.388526
21.873459,77,39.365643
30.323268,139,40.778755
35.613034,145,42.244002
26.20856,62,43.153852
23.887684,83,44.192846
32.722293,83,45.258474
28.399025,130,46.702193
40.616172,218,52.026437
18.076394,76,55.145941
109.852311,855,83.099864
23.195692,75,86.166907
56.22513,657,104.961225
29.955666,120,109.244465
54.912125,246,116.97393
38.735379,282,125.761069
36.553999,120,130.007361
37.547289,190,136.244549
20.018091,78,139.458713
28.660652,113,143.459482
42.77793,177,145.308629
22.515967,133,146.934682
60.092854,185,148.829073
57.809997,303,151.728535
22.334418,106,152.984086
34.442726,165,154.717474
31.230218,77,155.733244
39.825643,143,157.194675
50.302137,319,161.442911
22.681747,79,162.418215
48.867807,255,164.88315
32.793115,121,169.07127
20.83201,80,172.354829
36.219634,173,178.180431
39.617603,142,183.050731
36.964161,248,190.970689
48.906742,388,202.798364
26.335575,89,206.326438
23.604725,81,209.58426
33.196785,113,213.779561
18.356862,47,216.131893
22.907239,116,220.465997
83.833932,437,233.695488
40.696483,159,239.141608
60.549699,209,245.968526
37.306282,127,250.542932
40.209198,152,255.699704
48.79364,317,265.530676
54.461964,224,272.71499
66.735458,408,288.203642
20.39871,72,291.142187
46.929645,233,298.569352
20.671641,75,301.695168
60.720063,449,314.973356
59.153966,352,325.41827
35.163089,115,329.622221
70.302362,324,339.38655
32.929037,115,343.586868
21.28049,77,346.739229
39.674383,149,351.852349
19.047121,78,355.048321
30.430751,100,358.891243
22.811589,77,362.00966
27.848914,93,365.535627
73.897139,398,377.385488
39.333145,200,383.871418
56.968979,239,391.356725
67.97375,233,398.768568
30.224563,84,402.135627
71.485089,414,413.898412
42.522175,213,423.828608
22.470472,77,426.948275
27.510372,75,429.864263
23.846053,54,432.259831
36.631797,119,436.281393
62.932617,263,443.608498
49.935132,239,450.602189
34.314564,341,459.876536
79.164779,366,469.778219
45.269993,334,478.888578
46.09621,148,483.528515
42.781382,108,487.198377
65.633905,370,497.27369
57.926378,243,504.199714
53.654106,178,509.906619
31.249833,91,513.178902
33.240624,106,516.78054
17.606805,56,519.266368
31.690629,145,523.772297
51.318946,240,530.679003
43.012043,322,539.598573
29.448479,85,542.661802
48.399726,310,555.068515
22.929413,78,557.976523
21.699941,77,560.968589
50.759839,254,568.188668
41.574104,107,571.749514
63.898177,324,580.559802
91.138347,793,600.843564
20.175091,72,603.742531
44.101789,253,610.957248
64.020888,199,616.870146
41.847166,118,620.806638
22.524102,65,623.490808
30.376323,108,627.339268
32.831054,109,631.084153
39.472555,220,637.509947
25.007693,77,640.597199
59.478211,288,650.498412
30.806059,169,656.033397
22.971183,78,659.104242
34.745926,176,664.528273
41.640686,187,670.165881
69.915032,318,683.028393
61.849848,172,688.661918
48.493789,229,695.207477
41.366833,158,700.172856
24.822884,206,706.308325
50.946815,222,712.963371
32.212003,223,719.431922
64.413998,327,728.599485
29.932588,83,731.668856
39.169024,94,735.030245
24.549397,84,738.171816
35.734428,148,742.920657
59.483242,251,750.338756
23.442647,89,753.586191
41.0506,114,757.438514
36.747961,308,766.253543
41.913979,284,774.418205
29.678612,83,777.608482
39.287995,155,782.478474
78.109953,617,798.986653
66.537532,196,808.821004
28.371853,80,811.816144
21.485006,113,815.633004
65.041844,352,825.400628
53.328653,243,832.498566
41.133738,151,837.150726
23.61451,110,840.783346
42.060015,125,844.978314
38.017025,129,849.498377
38.59994,624,866.298194
53.366665,279,874.092929
34.698074,113,877.921947
45.720105,190,883.728539
27.930652,84,886.948656
40.93303,152,891.7906
59.417644,469,904.481156
35.128832,249,911.771174
19.625064,47,913.919999
27.3146,112,917.785541
56.286572,162,922.810421
28.076459,83,926.093467
54.863588,188,935.343537
33.521352,175,940.84287
25.212784,58,943.40819
30.769213,85,946.609916
47.330067,200,952.569663
47.302293,155,957.478438
49.899773,168,962.702044
36.50269,112,966.438634
54.11891,188,972.039747
28.808555,120,976.008983
57.314318,306,984.660544
55.260126,212,991.403165
43.811943,142,996.10847
35.147341,112,1000.189929
57.380619,324,1009.205966
22.653303,103,1012.878121
24.340538,101,1016.376716
70.015982,233,1023.189577
33.200648,727,1042.069367
47.352819,627,1062.611486
36.914678,139,1067.101903
86.349868,355,1076.893806
23.794297,62,1079.511489
40.198281,192,1085.281802
32.779993,88,1088.489957
34.087032,112,1092.270988
30.484294,146,1096.898416
112.098326,525,1111.126376
28.090535,152,1115.968136
46.850509,262,1123.460075
69.439467,397,1134.278096
26.629398,82,1137.340104
40.538933,156,1142.213382
21.46982,109,1146.018523
47.101334,157,1150.988231
37.658701,119,1155.086388
31.93218,111,1158.848202
66.776256,173,1164.198051
23.519501,85,1167.551604
37.090685,207,1173.969613
57.260876,165,1179.083511
59.473586,363,1192.998062
69.12884,299,1201.850786
41.200338,114,1205.681674
38.34722,125,1209.823251
27.013173,81,1212.824645
26.36826,232,1219.651404
38.886015,139,1224.338224
29.579928,116,1228.270688
25.865954,79,1231.3084
49.237044,145,1235.943278
64.185812,345,1245.528115
85.145917,438,1257.501951
42.38756,225,1264.083342
29.777447,81,1267.133259
80.134082,340,1276.369926
67.644133,297,1284.886352
29.626914,106,1288.595099
61.550154,269,1296.220183
23.335384,115,1300.213528
76.334331,202,1306.188325
36.642082,184,1315.685388
61.524283,224,1322.204223
51.514023,166,1327.268032
59.421838,388,1337.82843
82.607251,252,1345.471507
39.150893,120,1349.578321
38.757874,112,1353.501512
31.077925,127,1357.618516
20.385911,104,1361.360549
54.476099,201,1367.508958
63.205328,309,1376.328427
28.941667,81,1379.438164
49.51908,144,1384.214512
24.75811,141,1388.678083
48.132215,173,1393.888584
80.409423,543,1408.663175
34.220571,110,1412.390108
26.56741,113,1416.221747
80.897015,249,1423.311466
56.460759,222,1429.911343
29.082212,105,1433.548348
47.286738,203,1443.108352
27.987014,110,1446.793606
32.114315,101,1450.333243
38.724834,355,1460.017997
30.471255,114,1463.759737
84.97279,405,1475.208184
62.269168,506,1488.778788
54.484448,179,1494.273441
62.181254,192,1500.189812
35.290557,130,1504.613069
45.6976,145,1509.218893
33.210432,112,1512.936898
43.854363,400,1523.738294
46.103457,240,1531.048549
37.370365,123,1535.138287
38.735865,121,1539.14915
68.387953,520,1553.036247
138.069665,636,1573.171644
43.441984,172,1578.499623
60.783168,195,1584.309422
22.044063,57,1586.900422
82.255458,697,1605.078325
52.268713,332,1614.424713
22.608015,99,1617.918571
68.477591,533,1632.088146
35.334898,285,1640.090247
40.039644,138,1644.718487
42.996293,150,1649.508374
37.224161,307,1658.024472
22.917277,76,1661.141349
43.974855,150,1665.850085
49.722656,193,1671.689626
22.730605,70,1674.497955
45.610044,117,1678.518193
32.158578,173,1683.897267
48.88681,183,1692.748015
73.181827,341,1702.191416
46.487104,153,1707.531741
44.073177,293,1715.598378
47.139581,224,1722.034127
55.298103,237,1729.269212
39.724873,122,1733.353148
73.514902,312,1742.141438
71.686172,309,1750.841732
58.594536,561,1765.851045
46.92724,149,1770.607971
51.054264,540,1784.630159
24.770351,146,1789.408336
43.765818,204,1795.578092
66.123183,235,1802.458097
64.218805,239,1812.818253
62.826286,232,1819.569806
51.048347,197,1825.611849
47.103201,130,1829.878295
53.997924,192,1835.780808
46.729002,299,1844.076833
40.256241,136,1848.49543
