#{"t_start": 1670162267.7086468, "env_id": null}
r,l,t
0.08003,542,17.972996
0.450713,433,30.341998
0.021153,115,34.493
7.444803,1001,59.015996
0.079575,284,65.280998
4.487286,307,71.789996
0.039548,276,77.713999
0.074487,427,89.629996
2.629275,262,95.150999
0.298668,229,99.964997
0.011848,439,115.832762
0.40012,324,122.421762
0.046301,1001,142.217763
0.257546,515,152.139763
0.013054,260,157.903763
0.392402,585,169.92176
0.216162,111,172.969762
1.74815,468,184.775595
0.03615,308,195.468598
0.104877,153,199.360596
0.20158,373,211.951597
0.075021,455,223.160595
0.032288,174,232.276598
3.220358,865,254.282599
6.684271,416,272.806599
0.128912,128,286.523594
0.113331,376,299.038598
0.055197,147,302.966596
0.068243,164,306.665595
0.042065,123,309.295593
3.052502,667,320.254596
0.068006,328,326.722598
0.208305,421,336.741596
0.033214,261,341.424595
0.091929,244,345.964598
0.043396,294,351.520597
0.835722,282,356.957595
4.996704,753,369.315598
0.250326,375,376.187596
0.153019,474,384.598623
0.119583,855,399.094594
0.036972,366,407.668593
0.348667,306,413.117598
0.235862,434,422.172595
3.49974,568,435.815663
1.345925,407,443.430667
0.015535,73,445.350664
0.70796,378,452.105669
0.052391,154,455.794668
0.394861,116,458.674664
2.694532,390,466.273666
1.212102,769,481.119663
0.430376,352,489.991664
0.308156,132,493.124662
0.538149,742,508.038667
0.120976,151,511.469691
0.127787,219,515.801664
1.703715,1001,532.968664
0.053009,292,540.418662
1.288785,539,550.597665
0.226008,416,559.465678
1.421339,367,565.96068
0.959646,386,576.731253
0.130423,201,581.617252
5.395906,822,601.955369
2.315448,306,609.342375
0.188345,372,617.479736
0.434583,208,624.324733
0.354673,144,628.610734
1.231972,1001,646.771734
1.328153,929,665.451735
6.738433,948,684.782558
0.138805,285,690.038587
0.157395,261,706.304564
0.18861,361,715.177558
4.847216,832,732.727559
1.289648,188,736.823557
0.039434,184,740.584558
0.061822,153,744.533557
0.149976,159,748.865558
0.114159,163,753.462586
0.430409,1001,776.36556
0.171393,309,782.114558
0.130677,81,784.156566
1.690499,1001,803.986577
0.967091,542,816.096559
0.010257,56,818.323558
0.196716,645,832.099164
0.197762,824,846.933164
0.738361,987,864.955163
1.286754,1001,881.464164
0.964857,270,886.435163
0.157943,126,889.722163
0.25987,226,894.179163
1.457406,326,899.869163
2.401277,984,919.436163
0.198312,195,924.622165
0.11836,84,927.244163
6.934397,541,941.244167
1.589086,333,948.619167
0.642385,375,955.475163
0.038799,148,958.480168
0.103218,224,962.656167
2.798235,615,973.034163
0.189868,329,978.839161
1.863526,276,984.174165
0.262486,86,986.624174
0.11478,161,990.333163
0.237931,209,994.648163
0.578482,168,997.987163
0.100115,217,1002.346162
4.326092,431,1011.708166
0.243118,501,1020.131166
0.119708,430,1028.458165
0.173779,340,1034.877164
0.166527,145,1038.120162
0.442742,272,1043.240162
0.148256,119,1046.154163
4.850425,523,1056.422161
1.825969,308,1062.178164
0.09853,241,1066.592165
0.034829,276,1071.856198
4.005731,838,1088.654163
0.067023,246,1096.228165
0.064364,224,1101.153193
0.098518,534,1111.179163
2.297651,606,1124.625332
1.423725,172,1128.606326
0.914058,696,1140.551324
0.383013,1001,1157.749326
4.004777,459,1165.460353
0.066181,110,1168.041329
0.414177,206,1174.705334
0.095083,297,1180.945883
1.445395,341,1188.901884
0.069868,1001,1208.05288
0.414479,336,1214.594881
3.609271,971,1231.700886
1.091967,230,1236.261912
0.40656,323,1243.681882
0.732725,347,1252.382882
0.940269,200,1258.718882
1.235878,382,1265.906883
1.537694,216,1270.771149
7.613043,1001,1290.911152
0.08272,190,1296.244151
8.690207,478,1305.910151
0.038203,154,1310.137672
0.301767,966,1337.64767
0.26504,249,1343.083673
2.503925,1001,1364.167671
0.167136,266,1369.887681
2.964732,551,1381.054525
0.834028,482,1391.397526
5.603483,221,1396.335526
0.520374,341,1403.127526
2.488491,481,1412.25253
1.613063,646,1425.403472
0.104421,149,1429.468473
0.418414,582,1445.386472
5.050629,1001,1464.509471
0.188514,159,1467.801473
0.328347,207,1472.069984
0.070063,185,1476.165982
1.040365,1001,1495.618983
0.616479,83,1497.952986
3.144832,1001,1514.615999
4.276085,1001,1533.717996
0.759296,1001,1550.623999
0.729075,465,1559.063996
0.775781,421,1566.223997
2.55047,1001,1582.660998
13.939625,508,1598.502998
0.24629,77,1600.676001
2.927071,311,1608.970999
