#{"t_start": 1670365125.113294, "env_id": null}
r,l,t
0,180,1.341074
5.113677,1001,6.578163
0,393,9.033594
0,311,10.917772
0.012665,1001,16.053667
0,74,16.785713
7.508083,1001,21.942762
1.49728,1001,27.140129
0,58,27.821429
3.907788,772,31.918329
0,1001,37.158656
0,52,37.833047
2.59501,1001,43.106043
0,58,43.783147
0,1001,49.203253
0,54,49.863716
1.472304,187,51.199503
0,46,51.819732
4.896859,1001,61.118754
1.488803,1001,89.293408
1.205148,1001,121.805249
0,159,126.600598
0,183,132.274687
0,71,135.117319
0,623,153.097056
0,57,154.911652
0,531,171.726269
0,217,179.165264
0,68,181.666111
0,59,183.708675
0.563958,1001,212.192905
0,64,214.274163
0,54,216.073751
0,70,218.301624
0,69,220.654314
0,461,232.796233
0,120,236.280822
0,182,241.881016
0,112,245.315577
6.97017,1001,272.7497
0.001462,265,279.973341
0.214231,206,285.633237
0,341,294.858995
2.444407,841,316.704588
0,87,319.380546
0.099199,706,337.950254
0,117,341.352439
1.989169,258,348.347418
0,231,354.696701
0,73,356.867546
0,70,359.016129
0,161,363.538984
0,64,365.769875
0.352539,244,372.826408
1.686098,618,389.02385
0,145,393.189463
0,103,396.289046
0,50,397.99951
0,174,402.876498
0.035079,994,430.238492
0,1001,456.407783
0,436,468.024747
0,1001,495.800372
0,514,509.332251
0.114899,1001,535.276853
1.164999,1001,561.84814
0,223,567.97281
1.250259,882,591.039552
0,304,600.20703
3.40523,933,629.621263
0,46,631.893565
0.798619,344,641.897264
0,1001,672.446986
0,368,684.384744
0,423,705.658383
0,464,725.034591
0,211,731.726278
0.027336,1001,758.000659
11.668376,1001,783.942581
0.025521,1001,810.235998
0,179,815.215107
0,478,827.82693
0,786,848.164953
0,779,868.696475
0,162,873.305584
0,519,887.038079
4.757026,1001,913.509427
0.246605,516,927.193779
0,123,930.815538
4.390796,589,946.216502
0.219513,1001,972.218158
2e-06,458,984.439717
0.116989,1001,1016.451039
0,492,1035.936878
0,111,1040.613057
0,239,1049.721946
0,64,1052.462204
0,51,1054.752048
0,507,1073.073565
1.146925,1001,1101.139699
0,62,1103.101182
3.361521,497,1116.086601
0,260,1123.075942
0.173788,524,1136.92322
2.984457,1001,1163.106928
0,255,1170.051116
1.032222,1001,1195.931427
0.520196,1001,1222.214462
0.274882,1001,1248.759118
0.14464,1001,1274.885612
0.072576,1001,1300.520812
0,141,1304.561775
12.536842,1001,1330.365475
0,105,1333.546421
3.053362,1001,1358.827686
0,1001,1384.792572
9.689334,1001,1410.440105
0,41,1411.84079
0,48,1413.503694
0,1001,1439.180759
0,617,1455.267891
0,85,1457.865919
0,1001,1483.828789
0.090767,291,1491.814847
0,69,1494.001621
0,1001,1519.960703
4.87734,761,1539.568774
0,1001,1565.534873
1.327032,1001,1591.491724
1.647974,1001,1617.101044
1.747485,1001,1643.121486
0,70,1645.27354
0.047856,1001,1670.837261
3.488718,1001,1696.658031
0,44,1698.149065
0,72,1700.404211
0.182251,969,1725.273018
2.836727,754,1744.564938
3.822597,1001,1770.41827
0,164,1774.91619
1.232683,478,1787.365849
7.298985,849,1809.358168
0,56,1811.443141
0,435,1822.939582
0,311,1831.313838
0.183993,1001,1856.464531
0.012463,897,1879.722131
0.468287,1001,1905.780311
0,1001,1931.45439
7.596711,1001,1956.968625
0.682027,1001,1982.710261
0,316,1991.300098
0,1001,2016.998237
0,284,2024.634512
0,228,2030.91767
