#{"t_start": 1672848656.5361888, "env_id": null}
r,l,t
15.135467,197,5.544249
4.309748,150,9.925249
5.749662,151,14.321259
7.879563,122,18.046246
10.249764,287,25.003246
3.994994,152,28.93025
9.629766,275,36.355437
1.707443,75,38.638432
42.49024,531,49.874432
24.441654,241,55.650431
0.401031,75,57.92646
31.899026,376,66.757431
50.945516,352,74.772431
1.700558,94,77.578435
29.551137,347,86.640433
7.017023,185,91.428432
0.198507,134,95.152435
0.1733,83,97.712432
15.752074,203,103.029433
39.197074,484,116.38046
0.098283,85,119.066437
6.934353,116,124.120435
3.024658,80,127.211433
1.198769,245,134.348434
2.091593,121,138.408433
26.474436,373,148.710432
2.356308,926,169.762432
25.962787,415,179.985434
0.47193,76,182.821431
0.122852,105,186.18146
3.844426,108,189.305438
0.662126,88,192.071432
1.152914,80,194.742435
1.192332,81,197.454433
2.731023,89,200.194432
0.0978,145,204.458437
95.492365,790,224.137432
27.440242,428,233.350434
3.284735,79,235.751433
9.653014,129,238.979436
1.260267,73,241.150432
6.661023,212,246.012433
40.132513,443,255.140432
1.537112,82,257.519433
6.32003,94,260.037437
0.233489,89,262.555433
6.582468,118,265.574436
7.79647,79,267.856434
22.957271,217,272.689432
4.386368,83,275.089434
38.676284,477,284.975433
2.55832,87,287.452434
15.476323,245,292.983432
58.591083,407,301.509431
0.295038,93,307.134202
37.812185,521,341.197083
12.505295,177,7549.101135
8.435881,123,7553.196133
17.790646,167,8834.538565
8.056195,311,8845.208564
29.877235,232,8852.412565
0.824573,181,8858.132566
107.355635,561,8869.716565
7.462892,118,8872.745567
19.290071,331,8879.888564
21.212401,816,8896.546563
35.157261,221,8901.594562
2.132367,248,8907.156592
28.586083,257,8912.964432
4.412815,213,8917.847428
16.53596,226,8924.862429
0.766655,80,8927.197429
0.460935,117,8930.198428
0.288136,74,8932.612429
12.22631,204,8937.274519
0.217306,162,8941.159524
0.639717,74,8943.353519
4.915228,242,8948.773548
47.328735,452,8958.26052
1.969894,184,8962.560519
20.227001,431,8971.63852
0.291394,110,8974.440525
4.290849,86,8976.835524
8.857133,417,8985.551524
11.874337,241,8990.853519
18.513067,207,8995.767522
66.943772,555,9007.175519
18.76803,358,9016.622522
27.385026,311,9023.350523
0.859272,180,9027.585523
0.136599,82,9029.91552
16.366269,200,9034.531519
63.662405,329,9041.63352
0.09029,74,9043.842519
1.63181,77,9046.329523
8.457913,147,9049.865519
43.385833,208,9056.011518
4.932335,114,9058.952524
25.002333,210,9063.797526
27.612722,339,9073.961036
2.322532,116,9077.649037
33.523306,325,9085.356036
0.976611,109,9088.19504
1.191006,72,9090.351034
1.569119,115,9093.333037
37.004392,377,9101.30504
27.449374,231,9106.556036
4.396757,123,9109.788064
0.170192,155,9113.693041
2.625042,82,9116.058037
15.907306,391,9131.649044
96.738432,734,9153.060036
86.114498,443,9164.133037
25.975708,274,9170.138036
31.749774,319,9176.913035
17.179814,127,9180.102036
3.13204,202,9184.780038
4.523124,274,9190.769036
2.229723,113,9193.680037
0.150894,78,9195.881036
35.392165,466,9205.582041
17.007433,169,9209.572034
0.277441,155,9213.374331
4.037684,138,9216.737328
10.124555,128,9220.042328
20.563047,372,9229.618329
29.680013,297,9236.021327
42.794477,456,9245.508332
61.214747,446,9255.743327
1.060269,108,9258.653329
15.530768,108,9261.469327
6.83806,254,9267.10533
0.555666,79,9269.356333
0.388569,77,9271.577327
37.635516,240,9276.93133
4.478427,312,9283.569327
80.712767,588,9295.510327
14.793749,153,9299.184355
5.719904,106,9301.98833
8.683064,492,9312.12333
20.697737,236,9319.297327
12.425869,134,9322.638329
0.480732,108,9325.422328
15.869062,295,9332.466328
13.314991,329,9339.614328
18.695499,329,9346.632328
23.814041,173,9350.650328
3.051113,78,9352.918327
47.166794,586,9367.158602
8.867068,89,9369.687602
2.811832,81,9371.990605
12.678863,149,9375.606604
103.645771,828,9392.051603
11.152108,279,9398.181604
72.348815,450,9407.594601
26.557843,274,9415.450601
8.078127,128,9418.7376
0.511831,82,9421.068602
39.780645,253,9427.04111
2.20155,78,9429.57186
15.142277,266,9436.51537
23.493306,168,9440.448056
94.209979,516,9451.112057
27.285428,170,9455.031058
2.09112,73,9457.173056
41.849723,314,9463.792059
5.982573,277,9469.842059
47.896943,401,9478.220056
1.897541,53,9480.034058
3.397303,75,9482.195056
5.878946,200,9487.060057
11.079315,166,9491.416056
98.183313,534,9503.073061
21.211418,193,9509.356056
58.560311,440,9518.621059
24.847513,258,9524.293058
2.956101,80,9526.634056
86.256424,587,9538.557058
29.577854,335,9545.708056
35.652697,253,9551.304059
70.07678,549,9562.846056
30.006436,362,9570.72806
1.169835,112,9573.65406
21.060233,227,9578.847059
21.685609,166,9582.686061
16.720399,171,9586.771057
21.264436,349,9594.20306
3.568647,77,9596.425059
77.523604,514,9608.944064
76.682185,641,9621.918058
78.528969,655,9634.981059
16.693428,150,9638.681056
64.207052,527,9649.402058
55.093004,317,9656.224058
60.833186,699,9670.45506
4.994082,224,9675.498061
9.157603,84,9677.893058
140.345742,908,9698.127057
62.286113,551,9709.380058
49.170011,348,9716.828058
12.157821,148,9720.473058
48.594095,384,9728.98806
60.248339,575,9740.714059
28.009557,200,9745.248062
27.149739,243,9750.647057
53.33475,226,9755.735057
81.096881,452,9765.039059
53.328983,297,9771.444056
44.305104,234,9778.577174
85.671423,794,9794.956174
1.58023,146,9798.486174
100.116317,640,9811.526178
185.889109,1001,9831.441177
82.05738,516,9842.078176
58.683105,401,9850.545176
39.307925,271,9856.446177
160.887907,989,9877.952175
26.338173,247,9883.451175
139.910697,691,9897.326175
133.018305,1001,9917.260178
75.731683,271,9923.562177
72.21848,282,9929.799175
126.874615,596,9941.790174
19.983677,266,9949.442174
2.86749,136,9952.840178
58.749391,389,9961.087173
49.884123,234,9966.301173
63.717256,336,9973.522177
89.375992,386,9981.691175
123.399711,583,9995.620177
16.847996,143,9999.082177
29.548855,210,10003.806177
14.377182,228,10008.870175
41.514095,354,10016.438173
63.684366,373,10024.394176
110.814699,1001,10046.141176
52.380174,279,10052.285174
96.252163,648,10065.367174
20.74492,133,10068.620177
226.474219,1001,10089.070176
40.050418,374,10097.021173
153.974973,1001,10117.003173
22.367303,138,10120.360174
50.613411,228,10127.380175
185.290492,903,10145.424173
28.341584,240,10150.82923
0.095231,49,10152.570225
24.685256,134,10155.840225
40.950244,231,10161.048227
35.165685,201,10165.716224
82.673098,479,10175.605226
26.397068,180,10179.842226
9.62077,106,10182.634226
18.183845,140,10186.087225
213.454571,1001,10206.087226
88.073956,428,10217.068225
71.882735,365,10224.782225
102.707442,633,10237.685225
80.773879,633,10250.515227
148.023582,606,10263.105229
22.675782,214,10268.290225
77.353409,510,10279.281226
26.425607,127,10282.626227
49.651976,435,10291.708228
245.718774,1001,10313.743227
98.577863,755,10328.952227
142.489568,936,10347.736225
35.845929,219,10352.778225
58.689038,280,10358.883226
105.035163,384,10367.035225
90.973632,963,10386.472226
35.695967,291,10394.685226
35.462437,255,10400.372227
152.372597,806,10416.633229
1.787403,272,10422.619226
118.001153,1001,10442.436225
95.907815,854,10459.451226
6.816572,101,10462.165224
85.873204,433,10471.282226
144.862366,953,10492.346228
110.814423,1001,10512.402225
41.362794,210,10517.159225
71.524962,530,10528.061225
106.100581,775,10543.702226
120.128232,469,10553.422227
2.554579,70,10555.549226
57.07756,291,10562.261227
26.889678,144,10567.848227
233.161757,1001,10587.706225
26.705734,237,10593.046229
18.358182,155,10596.823226
49.949569,244,10602.276226
177.371313,1001,10622.29423
87.921929,461,10631.920226
61.986522,414,10640.624225
278.373744,1001,10662.477225
106.166151,506,10672.901225
91.4,371,10680.837225
192.081803,1001,10701.21423
192.548074,990,10720.914227
122.28039,831,10739.670225
26.135832,234,10744.959225
15.465533,159,10748.761225
33.815886,204,10753.475226
41.850335,214,10758.33623
4.171153,80,10760.646226
69.99147,323,10767.658225
31.25558,194,10772.186225
61.071746,410,10780.852225
124.077838,1001,10800.913227
151.460522,720,10815.587226
97.518156,532,10828.443226
208.244427,1001,10848.570227
86.425567,361,10856.239225
50.231468,302,10862.815228
25.118387,131,10866.18323
74.825683,424,10875.073225
51.843557,276,10881.160228
165.597915,1001,10903.121226
82.774566,565,10916.753226
12.021304,103,10919.522229
281.270954,1001,10946.057225
91.184694,525,10959.023225
157.949156,742,10974.095225
85.278008,424,10983.380225
62.596871,378,10991.398227
45.322945,331,10998.57823
28.93633,166,11002.701223
138.985524,1001,11024.681231
266.426612,1001,11044.976228
269.815192,1001,11065.016225
242.192703,1001,11084.952226
257.233101,1001,11106.837224
126.864323,627,11119.777225
186.618348,835,11138.060617
213.586221,1001,11159.997612
18.2248,108,11162.864614
271.137519,1001,11184.897612
177.69902,1001,11205.020613
244.949746,1001,11225.615612
52.946126,351,11233.188613
79.497321,357,11240.747617
290.851328,1001,11260.762612
229.675489,886,11280.447675
308.00348,1001,11300.590677
151.12232,815,11317.306676
252.815581,1001,11337.068676
312.650483,1001,11358.943675
270.033163,1001,11378.872674
26.365878,154,11382.647677
42.215708,213,11387.501678
54.240371,247,11392.995676
314.15294,1001,11413.004676
81.067452,311,11419.694678
65.602635,400,11428.178676
275.854659,1001,11450.030676
311.752389,1001,11470.108677
152.968653,561,11481.878677
91.088805,350,11489.201676
268.778684,1001,11509.317676
254.094232,1001,11533.560676
233.458465,1001,11553.445676
119.904978,631,11566.293676
220.076824,870,11584.025676
254.042037,933,11602.805674
282.733498,1001,11624.583678
238.016194,1001,11644.655675
47.320658,276,11650.723678
88.553454,469,11660.565676
216.976409,1001,11680.678676
53.179555,213,11685.583678
139.095786,703,11701.886677
224.514965,1001,11721.998678
300.958815,1001,11742.144677
214.389129,763,11757.524678
304.987825,1001,11777.458676
272.42029,1001,11799.320675
285.830148,1001,11821.61168
318.156074,1001,11842.193677
35.363564,183,11846.569675
233.719557,854,11864.207676
286.88352,1001,11886.165675
290.295846,1001,11906.274676
243.396124,1001,11926.340676
259.8453,1001,11946.392678
192.465296,1001,11968.251676
263.904205,1001,11988.370677
324.472608,1001,12008.406674
52.757939,283,12014.709677
25.43531,178,12018.861677
329.280438,1001,12040.659676
208.023322,872,12058.22168
209.395796,918,12076.745677
130.15338,483,12086.871676
254.451722,984,12109.402678
161.063206,669,12123.187676
186.923087,718,12139.56668
42.962676,202,12144.246679
216.020589,1001,12164.454676
96.992855,462,12174.117674
280.01966,1001,12194.180675
271.492735,1001,12216.128676
323.268766,1001,12236.171677
329.08824,1001,12256.305676
63.152314,332,12263.502676
143.437827,475,12273.385676
138.596897,535,12284.427675
288.900157,1001,12306.584676
290.579888,1001,12326.670676
34.549999,170,12330.71268
261.241859,1001,12350.824677
265.53073,1001,12370.987676
86.46041,392,12379.224676
161.085606,579,12392.924677
268.89502,1001,12413.280676
312.965856,1001,12433.900676
295.095562,1001,12454.686676
355.15924,1001,12477.004678
136.075927,488,12487.655674
337.038961,1001,12507.870676
264.413643,913,12526.212676
192.725035,716,12541.014677
241.974811,1001,12563.20268
111.845489,565,12574.786677
247.610582,939,12593.703676
30.350768,465,12603.484676
123.273425,500,12613.966677
249.092899,1001,12634.065677
334.9382,1001,12656.322677
213.774653,742,12671.685677
325.010406,1001,12691.758676
211.844408,1001,12712.075676
126.899502,499,12725.570678
348.492579,1001,12750.781675
323.611513,1001,12776.217677
309.116558,1001,12796.616676
352.475366,1001,12816.73768
293.401834,1001,12838.643676
350.768464,1001,12858.881676
340.1358,1001,12879.01668
323.92692,1001,12899.026677
348.802459,1001,12920.746676
307.422383,1001,12940.834676
368.521735,1001,12960.93868
261.559261,924,12979.684676
292.807863,1001,13001.526677
348.435005,1001,13021.784677
