#{"t_start": 1670185132.2791615, "env_id": null}
r,l,t
0,350,1.400088
0,379,2.843554
0,1001,6.13821
0,121,6.848699
0.058239,658,9.204003
0,125,9.877639
0,473,11.782993
0,301,13.433672
0,129,14.227278
0,24,14.651608
0,630,18.790109
0,188,20.000878
0,242,21.076392
0.111874,926,24.360389
0,1001,27.525642
0,174,28.454539
0,988,31.895666
0,256,32.928527
0,276,35.134128
0,657,37.309176
0,443,38.90605
0.007665,113,39.575516
0,355,40.960814
0,1001,43.99081
0,622,46.023241
0,208,46.944113
0.005773,234,47.944154
0,30,48.359063
0,805,51.959819
0,701,54.256918
0,600,56.21099
0,210,57.124712
0,633,59.186787
0,705,61.406854
0,477,63.103268
0.02584,236,64.14477
0,321,66.475794
0,768,68.942748
0,393,70.358142
0,706,72.735728
0,289,74.035263
0.036236,759,76.843693
0.003388,701,79.314822
0,109,79.970264
0,578,83.017864
0.010747,816,85.759764
0,186,86.614297
0,1001,89.810134
0,44,90.25114
0,310,91.494627
0,96,92.107929
0,293,93.293234
0,680,95.474023
0,299,97.748194
0,24,98.156331
0,84,98.735618
0,1001,101.84195
0,437,103.375595
0.000715,588,105.335957
0,254,106.367447
0,193,107.218399
0,1001,110.594125
0.000559,171,111.453926
0,375,114.188016
0,50,114.64255
0.000183,87,115.24708
0,1001,118.452417
0,570,120.612123
0,677,123.079489
0,379,124.600899
0,85,125.22295
0,346,126.603971
0.011715,113,127.301139
0.033465,141,128.07011
0,372,129.584935
0,223,131.831339
0,81,132.428751
0.034462,1001,135.62556
0.019811,637,137.828888
0,192,138.701791
0,290,139.895572
0,522,141.675299
0,482,143.346898
0,1001,147.57847
0,75,148.131568
0,283,149.242946
0,405,150.685414
0,443,152.234838
0,202,153.131735
0.004234,371,154.552787
0,122,155.215173
0,193,156.121399
0,481,157.85216
0,94,158.469699
0.003002,406,159.889596
0,432,161.403353
0.004826,92,162.006416
0,274,163.090835
0,113,164.859573
0,171,165.653704
0,137,166.370621
0,236,167.356726
0,407,168.796656
0,67,169.32659
0,192,170.241949
0,329,171.47502
0,44,171.944545
0,951,174.926117
0,357,176.227677
0.00812,161,176.988998
0.001048,358,178.314703
0,954,182.488163
0,529,184.473985
0,1001,187.627412
0,287,188.805996
0,1001,191.859275
0,444,193.427704
0,200,194.304312
0,383,196.69224
0,207,197.615085
0,796,200.107354
0,237,201.081242
0,650,203.180258
0,1001,206.48299
0,274,207.570138
0,1001,211.750372
0.005698,1001,214.786627
0,227,215.746382
0,143,216.468115
0,463,218.079339
0,153,218.844487
0,264,219.880218
0,667,221.997409
0,57,222.467576
0.004589,559,224.32047
0.032524,908,228.406695
0,303,229.620002
0,79,230.154191
0,465,231.757141
0,274,232.818739
0,45,233.272329
0,417,234.776711
0,84,235.311471
0,221,236.327209
0,1001,239.567639
0,441,241.173218
0,163,242.005489
0,62,242.521218
0,571,245.689773
0,89,246.282826
0.027327,1001,249.306103
0,391,250.691418
0.00655,287,251.790738
0,358,253.106128
0,219,254.04665
0,93,254.701544
0,266,255.803046
0,89,256.399378
0.010693,150,257.180443
0,679,260.353313
0,105,260.978246
0,474,262.71804
0,67,263.322021
0,471,265.014607
0.000691,388,266.56776
0,224,267.5386
0,314,269.032016
0,162,269.986899
0,342,271.364086
0,125,272.104156
0,392,273.672174
0,1001,276.78951
0.008054,882,281.556625
0,348,282.899575
0,382,284.302358
0,542,286.363824
0,153,287.314124
0,206,288.336981
0,360,289.900607
0,487,291.740008
0,120,292.43102
0,211,293.341058
0,271,294.417619
0,1001,298.683532
0,937,302.580393
0,799,305.465028
0,125,306.141321
0,73,306.687132
0,90,307.278463
0,278,308.41431
0,1001,313.06671
0,511,314.85296
0,1001,318.095702
0,336,319.40943
0,212,320.333186
0,169,321.139996
0.013388,961,324.378703
0.003778,455,326.032631
0.002525,420,328.969188
0,199,330.05563
0,658,332.284036
0,60,332.787546
9.3e-05,161,333.653691
0,226,334.684893
0.002767,220,335.764195
