#{"t_start": 1672934813.6987026, "env_id": null}
r,l,t
0.143373,10001,27.643321
0.143756,10001,53.905319
0.052317,10001,82.329318
0.112076,10001,109.810373
0.035108,10001,138.188318
0.094828,10001,164.849319
0.060636,10001,193.723317
0.067926,10001,220.628324
0.099279,10001,248.116317
0.133383,356,251.88932
0.130931,8905,279.18736
0.105554,10001,306.705318
0.101478,1432,312.641319
0.087587,9132,337.529318
0.063606,5302,355.253346
0.099429,4032,369.734345
0.067672,1465,374.494345
0.087642,822,378.968345
0.03256,10001,405.727346
0.020056,3427,415.953345
0.024642,5827,431.769346
0.047923,10001,461.422344
0.023979,2024,466.778345
0.051874,5921,486.167346
0.026859,603,488.297346
0.267535,1348,492.129345
0.06071,1208,495.648345
0.127866,438,499.265347
0.057784,1772,504.005352
0.117086,404,505.694346
0.098998,3605,516.376345
0.126848,1571,520.637347
0.095458,3407,531.133344
0.875646,2899,540.846348
0.052625,10001,569.784343
0.115082,5519,586.72935
0.040156,6158,603.075346
0.028927,3315,612.984348
0.261421,2702,621.548349
0.12569,10001,648.766347
0.089296,5775,670.037862
0.070858,7526,694.606196
0.252377,6458,713.251194
0.039348,8952,737.061193
0.103781,10001,765.001192
0.022598,5945,780.797195
0.033725,899,783.521199
0.013406,3122,792.871195
0.044539,3544,803.079194
0.080915,4482,815.446195
0.033219,4869,828.480195
0.041423,3292,839.996143
0.039349,1990,845.258143
0.06203,1124,850.537137
0.180234,1924,855.563663
0.044258,2718,864.270664
0.043385,3086,873.943661
0.147104,2106,879.743662
0.033256,2682,888.454664
0.139911,281,890.05166
0.695007,1902,895.011663
0.048472,2628,903.542659
0.089473,1690,908.198662
0.035942,2977,917.443661
0.055418,3440,927.829662
0.045591,1573,932.395659
0.151223,1466,938.764663
0.03079,204,940.026661
0.017552,658,942.325661
0.056809,3547,953.58366
0.026435,691,956.024661
0.127828,2925,965.830666
0.038011,1258,969.716667
0.165569,630,971.964661
0.038444,864,975.18366
0.067212,647,977.666665
0.077534,1182,983.495659
0.090784,812,986.292666
0.181907,1884,991.726659
0.043522,793,996.61166
0.050056,798,999.44966
0.068973,960,1002.57366
0.087776,1119,1006.12666
0.05326,1455,1012.831661
0.310236,2806,1020.473659
0.045995,1751,1027.473661
0.370707,1435,1031.80066
2.205245,1408,1035.92067
0.080355,3714,1047.485664
0.076467,3438,1058.419659
0.067025,7215,1081.378659
0.068591,5394,1098.668659
0.045852,732,1101.08766
0.034132,5020,1116.957658
0.131468,798,1119.711659
0.009989,10001,1146.873658
0.143634,1174,1152.317667
0.013803,459,1154.113661
0.096176,1568,1158.40466
0.490874,5294,1173.49666
0.023093,1508,1179.632666
0.030353,2239,1185.539662
0.056437,3884,1197.006661
0.456803,2610,1205.586661
0.176762,3363,1216.322658
0.061837,2072,1221.926661
0.037838,3082,1233.817659
0.086083,554,1237.09266
0.304443,1045,1240.604658
0.065678,2395,1250.398662
0.071823,1665,1255.082666
0.124242,3210,1268.579665
0.09383,1282,1274.177661
0.078607,5337,1292.92266
0.164725,765,1295.723661
0.220545,1317,1299.868661
0.135635,1075,1304.967662
0.114779,3230,1312.880661
0.17781,2483,1321.464659
0.183787,995,1324.851664
0.157847,6620,1344.199659
0.054284,893,1346.921661
0.060756,1893,1351.866662
0.19045,2262,1359.466666
0.367315,5336,1374.300658
0.07812,479,1376.127663
0.112297,1921,1383.182662
0.065589,490,1385.017668
0.105221,2614,1393.336659
0.144198,6717,1410.70166
0.033188,521,1412.685697
0.119278,359,1414.210663
0.06675,6165,1432.416661
0.136118,1159,1435.870698
0.071641,1571,1441.956664
0.049841,985,1444.875662
0.154488,716,1447.236675
0.094275,2599,1455.693659
0.01551,2637,1462.793661
0.057469,3349,1472.867661
0.107088,1323,1476.58666
0.667937,1114,1481.673665
0.132218,1483,1485.709661
0.108965,811,1488.21866
0.049147,3846,1499.260663
0.065605,3815,1510.317665
0.103489,2297,1518.061658
0.094134,3947,1529.19966
0.094411,819,1531.817659
0.077004,10001,1558.462659
0.203062,4717,1575.800658
0.145376,287,1577.252667
0.193413,3248,1585.115661
0.158852,9057,1611.318659
0.080551,3566,1619.864661
0.051416,542,1626.882663
0.097504,9864,1654.997659
0.089314,3300,1667.559676
0.178091,584,1669.61166
0.085429,2271,1677.341659
0.080267,1272,1680.943659
5.21188,1660,1685.494661
0.126361,8317,1708.493658
0.049166,3319,1718.51666
0.16418,1433,1722.45766
0.095019,1320,1728.304662
0.082526,1238,1732.129663
0.079018,1507,1736.332672
0.065823,767,1740.68766
0.081655,978,1743.645661
0.084408,284,1745.073661
0.226273,653,1747.30766
0.196805,714,1749.645666
0.088216,2521,1758.038731
0.084315,1168,1761.486763
0.162444,1785,1768.242733
0.124266,680,1770.588733
0.10414,1361,1774.432739
0.286858,401,1776.154735
0.924962,432,1777.925734
0.07243,318,1779.420734
0.091503,377,1781.079735
0.106101,278,1784.551733
0.074575,316,1786.118734
0.290618,266,1787.523734
0.081418,350,1789.082733
0.673073,765,1791.571736
0.14063,478,1793.483735
0.185914,852,1796.283733
0.099781,948,1799.167733
0.068434,403,1802.749737
0.284857,2503,1809.195734
0.252193,1716,1815.757737
0.289925,756,1818.378734
0.194724,1749,1823.079735
0.493904,1097,1826.320738
0.105091,2519,1839.985734
0.098426,10001,1870.878731
0.511237,5741,1886.451736
0.292757,1138,1889.845733
0.684881,3435,1900.361733
0.192945,1344,1904.199734
0.217982,548,1908.735734
0.343251,2114,1914.571733
0.203218,3178,1924.816733
0.445782,2662,1931.959734
0.803156,974,1936.917734
0.241868,1192,1940.318733
0.242157,1044,1943.441731
0.151351,1425,1952.165736
0.243207,969,1955.197735
0.571849,1502,1960.013734
0.331914,4488,1972.826733
0.448596,527,1974.814737
0.167619,1870,1987.083783
0.264223,358,1988.744779
0.191831,790,1994.365781
0.303348,7250,2015.942777
0.219127,1187,2019.439781
0.47346,838,2022.06978
0.199923,3911,2033.485779
0.34555,363,2035.148782
0.201966,2244,2043.189777
0.844401,1383,2047.050779
1.116256,801,2051.608778
0.216088,3170,2059.416777
0.262182,1304,2064.985783
0.437785,6628,2082.448298
0.730051,8721,2106.711299
0.673402,6524,2125.961296
0.423762,796,2128.6303
0.429708,1612,2134.980301
0.739905,2622,2141.686299
0.339029,8912,2166.437297
1.118511,4303,2178.822298
0.256173,4038,2194.734297
1.289621,10001,2228.641296
0.801365,261,2230.307298
0.418912,10001,2257.890298
1.131196,2451,2266.201298
0.305413,5890,2282.138295
0.470712,623,2286.367299
0.25087,4070,2298.077296
0.367516,4484,2310.897296
1.230998,3221,2318.869296
0.309287,2303,2326.687297
0.27183,783,2329.239298
1.248263,515,2331.212297
0.473839,524,2333.177297
0.865547,1797,2339.839297
0.480535,1206,2343.384304
0.336618,251,2344.698297
0.569086,911,2347.5543
1.939774,2633,2356.145296
1.698839,3682,2367.065298
0.477248,865,2369.795297
0.443083,1247,2375.358297
1.650877,6522,2392.529296
0.531934,2452,2400.664296
0.829327,404,2402.366299
0.389055,232,2403.668297
0.596313,1045,2407.005298
0.720736,987,2409.957298
1.781215,6022,5898.8977
0.829425,290,5900.882699
0.408407,915,5904.339702
0.433591,6525,5933.115701
1.117189,2849,5945.048701
0.644373,581,5951.211703
0.676777,4148,5970.6277
0.418166,1192,5976.258703
0.61146,463,5979.095703
0.180356,767,5982.488699
0.593262,2603,5996.132699
0.564969,6133,6016.957701
0.368775,1391,6022.898703
0.489225,6100,6039.125701
0.50458,3494,6049.648703
0.41141,3310,6059.9367
0.578755,1155,6063.363702
1.10177,695,6065.715706
0.562718,313,6067.221704
0.573576,1368,6073.054703
0.248857,656,6075.344699
0.436457,243,6076.683703
0.860856,206,6077.962702
0.52071,366,6079.592703
0.510729,234,6080.937701
0.311541,587,6083.049701
2.258085,4257,6095.791701
0.68022,189,6097.007702
0.427103,2151,6104.765702
0.484706,1040,6107.947702
0.467112,1334,6111.747699
0.568241,238,6113.1047
0.23254,291,6116.463702
0.930537,670,6118.786701
0.537631,1561,6123.082701
0.900542,563,6125.142701
0.646279,832,6127.774701
0.421661,10001,6158.900698
0.687608,188,6160.160702
1.186449,554,6162.257706
1.09126,7354,6184.110698
0.471955,1141,6187.5287
0.580012,461,6189.349702
0.608649,952,6192.3427
0.684467,1808,6199.034701
0.574768,249,6200.473703
0.484564,803,6203.545707
0.90512,2419,6211.612701
0.850771,1030,6214.7517
2.652383,707,6217.104701
0.43875,551,6219.107706
0.594761,1487,6225.115702
0.351699,578,6227.207703
0.630108,532,6229.205702
0.637683,1513,6233.4287
0.843617,2307,6241.173703
0.746797,223,6242.553705
0.620362,491,6244.408702
0.414791,1901,6249.383703
0.74634,568,6253.398699
0.796045,718,6255.819709
0.381472,2570,6262.506702
0.758509,1009,6267.427701
0.369523,338,6268.985717
0.82716,213,6270.257702
0.449189,269,6271.641701
0.675141,634,6273.9217
0.926375,994,6276.924702
0.780813,211,6278.1547
0.596658,1426,6284.026701
0.289864,2168,6289.641701
0.534584,403,6291.344702
0.775485,304,6292.843702
0.597119,224,6294.134702
0.489766,670,6298.328702
0.917151,785,6300.903702
0.9601,8677,6325.341698
0.793852,193,6326.597699
0.825998,1651,6330.949702
0.657425,219,6332.215702
0.827508,210,6333.550704
0.407842,977,6338.445702
0.607481,178,6339.631703
1.226531,650,6341.833702
0.554733,1552,6346.085702
0.803454,232,6347.389702
0.771196,1305,6353.037703
0.355885,200,6354.327701
0.385006,578,6356.399703
0.264362,765,6358.855701
0.309986,626,6361.037702
0.838806,599,6363.115701
1.308468,580,6365.178703
1.149567,863,6369.820701
0.922197,236,6371.162703
0.574721,756,6373.685701
0.566436,2704,6382.314703
0.588165,760,6384.884702
0.919192,1456,6388.913702
0.751639,1947,6395.931701
0.760018,835,6398.604702
0.407464,229,6399.943702
1.349717,1444,6403.965701
0.771087,1066,6407.111699
0.977527,1605,6413.808701
0.851218,225,6415.152703
1.872563,681,6417.452703
0.54257,1624,6422.0267
1.183907,1953,6429.058701
4.185957,2321,6437.080701
0.590787,1403,6441.032701
0.782752,1052,6444.1527
0.497249,375,6445.787706
1.195909,1113,6449.120702
0.630699,564,6453.082707
1.099057,3125,6460.8517
0.892172,2508,6469.165702
0.766706,617,6471.325702
0.450565,239,6472.649701
2.452722,2583,6481.5607
0.919312,649,6483.841702
2.419885,1358,6487.7207
1.066278,251,6489.044701
1.702651,873,6493.697708
0.756634,1418,6497.769701
1.628496,203,6499.027701
0.559983,719,6501.420701
0.653354,1079,6504.552703
2.815282,3845,6516.271701
1.193417,226,6517.590703
1.369638,1250,6523.147702
0.8864,660,6525.485701
1.620093,495,6527.377702
1.963993,1168,6530.761702
1.114504,310,6532.250701
1.377618,1430,6538.152703
0.880672,984,6541.167702
1.582518,1509,6545.458706
1.240489,6854,6565.436703
1.094497,415,6567.179701
0.676319,2392,6575.068701
1.787973,565,6577.157702
1.32172,531,6579.112701
1.234991,254,6580.768704
1.508994,556,6582.785703
0.717301,199,6584.000702
1.135117,305,6585.546701
0.703946,511,6587.457699
0.983968,203,6588.751703
1.141406,236,6592.0037
1.113559,246,6593.356701
1.164599,295,6594.832703
1.113692,1651,6599.314701
1.122568,650,6601.578704
2.697046,782,6604.106708
1.46965,872,6608.816701
1.083974,250,6610.205701
2.139859,875,6613.002702
0.915977,209,6614.279703
1.072391,1180,6617.849701
1.228035,285,6619.563703
0.859422,1185,6624.968701
1.016377,775,6627.558702
0.942429,440,6629.349701
1.30732,516,6631.282701
1.059818,265,6632.689701
1.596067,222,6633.974702
1.571938,477,6635.829703
0.987745,184,6637.061707
1.083648,1133,6642.2147
1.071661,215,6643.554703
1.30076,509,6645.471703
1.519649,585,6647.579701
1.584223,381,6649.259702
1.320468,205,6650.550705
0.954741,1575,6654.854701
1.307322,761,6659.298701
2.133776,1864,6664.365701
3.082256,870,6667.166701
