#{"t_start": 1672786015.6393232, "env_id": null}
r,l,t
0.398794,153,0.470026
0.30402,153,0.969843
0.115118,153,1.46521
0.212811,154,1.94845
0.237234,154,2.429852
0.123007,153,2.935346
0.195706,153,3.450732
0.238173,153,3.970301
0.401842,153,4.436406
0.50362,153,4.936996
0.469871,153,5.413982
0.155063,153,5.908297
0.142772,153,6.377036
0.246039,153,6.860219
0.367511,154,7.333861
0.25972,153,7.826353
0.381692,153,8.288352
0.195772,153,8.751627
0.425071,154,9.239766
0.253015,154,9.715765
0.306364,154,10.201312
0.416343,153,10.660054
0.214183,153,11.14881
0.37525,152,11.615761
0.213613,153,12.09303
0.260093,154,12.551791
0.451782,154,13.052422
0.50876,153,13.523848
0.277658,153,13.999227
0.384469,153,14.512135
0.459662,153,14.983289
0.188989,153,15.456613
0.315734,154,15.938581
0.124741,154,16.423649
0.208597,152,16.918081
0.264488,153,17.462187
0.151488,153,17.94253
0.294325,154,18.443571
0.226276,152,18.946934
0.392438,153,19.439322
0.239413,154,20.070664
0.398963,153,20.653346
0.341008,153,21.284866
0.327938,154,21.837197
0.151914,154,22.315167
0.295792,152,22.892157
0.106882,153,23.470455
0.254994,154,24.021964
0.496519,154,24.522873
0.180395,153,25.123656
0.157644,153,25.606557
0.126435,153,26.206425
0.272989,152,26.702967
0.224803,153,27.174657
0.163993,153,27.663116
0.287272,153,28.18162
0.43223,153,28.739511
0.225575,153,29.306778
0.180987,153,29.885359
0.536943,153,30.390634
0.265513,153,30.872853
0.458157,154,31.384084
0.169699,153,31.889564
0.094609,153,32.372928
0.159445,154,32.889922
0.105267,154,35.962479
0.222565,152,40.013413
0.095492,152,44.145689
0.377773,153,48.467902
0.292051,153,52.78111
0.212301,152,56.89626
0.1082,153,61.618267
0.149642,153,66.893427
0.308076,153,72.163972
0.142745,154,77.308402
0.108336,151,81.399896
0.104286,152,86.818419
0.149596,150,90.862462
0.113056,153,95.387147
0.13053,152,99.741845
0.121139,151,104.537176
0.128794,148,108.986746
0.167055,149,113.682477
0.069821,148,117.952211
0.081303,147,121.486012
0.114474,147,126.337044
0.068714,146,131.633305
0.230042,149,135.618434
0.159943,153,140.015957
0.200278,152,144.511791
0.081682,153,150.129374
0.119795,147,155.136279
0.073715,147,159.732449
0.110757,148,164.919399
0.070648,147,170.083174
0.079058,143,174.624783
0.124839,144,179.091024
0.110243,142,183.360889
0.102163,144,187.512725
0.119391,148,191.484916
0.086318,149,195.634166
0.103632,147,199.783067
0.171625,145,204.100654
0.207363,146,208.300194
0.135855,150,212.581696
0.140805,149,217.051606
0.117452,148,221.213963
0.061679,149,225.463436
0.132744,147,230.041849
0.117126,145,234.179108
0.179151,145,238.216893
0.062326,147,242.366415
0.093847,146,246.307336
0.134915,143,250.247429
0.065441,141,254.069499
0.179362,143,257.982488
0.150778,143,262.162751
0.176566,144,265.739608
0.179477,143,269.677549
0.188752,146,273.645629
0.142484,154,277.851007
0.203503,155,282.098559
0.146292,157,286.413048
0.132987,161,290.666654
0.134402,147,294.694438
0.219213,144,298.566452
0.100019,145,302.60043
0.087876,145,306.660567
0.137089,141,310.599473
0.144926,143,314.583946
0.09576,145,318.52073
0.120311,145,322.429588
0.144532,146,326.355126
