#{"t_start": 1670937212.8225017, "env_id": null}
r,l,t
2.992587,1001,5.196763
2.21654,1001,10.318861
1.739781,1001,15.441239
6.330472,550,18.488143
8.008589,1001,23.585279
1.158491,69,24.318335
3.361549,890,28.985606
2.014367,1001,34.219768
1.135645,1001,40.322715
3.461849,1001,45.915153
3.3432,1001,59.316028
4.512088,1001,100.376738
1.312674,1001,139.455029
4.015797,1001,182.024837
2.481412,1001,212.000848
0.956189,68,214.448398
1.76139,140,219.431902
2.081524,531,235.503029
0.980163,174,241.336084
1.233939,566,257.228906
2.393871,1001,284.86231
4.779544,375,297.397376
0.724854,160,309.080265
0.961208,58,311.056996
2.513335,129,314.637052
1.427268,86,317.382558
1.271746,49,319.070567
3.649473,526,333.499342
6.684751,335,343.08101
3.355679,254,350.671529
3.088738,76,353.474694
2.954956,61,356.18451
1.553627,57,358.182404
1.56732,67,360.531998
1.012212,119,364.315846
3.944473,313,373.331761
3.549749,97,376.272715
2.990436,167,381.022074
3.158228,93,383.928133
5.996086,481,397.101965
2.251332,163,401.976292
3.711802,119,405.474586
1.9289,622,422.847612
2.598494,106,426.039069
1.313837,94,428.976412
0.698252,127,432.84762
6.399959,218,439.059812
0.987128,215,445.377723
2.413828,291,453.535131
1.545388,522,468.03493
2.362673,133,471.89815
1.70304,83,474.893465
1.013252,53,476.677154
0.970725,71,479.049669
4.923787,279,487.119965
0.94669,564,503.226255
9.052312,1000,531.143401
1.867067,201,537.751922
0.939313,52,539.616046
3.724657,245,547.847161
1.777383,57,551.3445
2.766836,57,554.446515
1.172523,51,557.208666
1.399005,50,559.466478
1.523186,321,571.634822
1.483594,248,581.094619
0.940827,73,584.104336
0.865289,590,608.62513
2.749163,61,611.53572
1.228313,62,614.563428
3.935751,327,630.46361
1.822815,68,633.715518
3.471844,189,641.877954
2.029738,55,644.690279
2.319848,132,650.679291
3.580761,159,658.272151
0.974505,49,660.795739
2.369672,439,678.716037
2.220243,325,692.811301
1.543472,64,695.795485
1.542054,66,698.782794
1.404994,55,701.405589
2.041849,321,713.510489
1.181833,55,716.277599
5.26827,364,728.786612
0.920703,55,730.921205
1.964505,117,735.138463
2.448728,265,743.766388
2.241196,87,746.90842
3.503169,447,763.09118
1.192116,53,765.178407
4.537335,612,784.572462
1.431198,177,790.500001
4.689449,1001,827.949876
2.760303,676,851.369174
2.183797,1001,883.606593
2.834223,712,905.168347
5.460342,1001,937.527503
0.679342,63,939.804671
0.860842,63,941.96709
0.737119,65,944.254231
1.17509,59,946.370572
0.707158,57,948.399866
0.775899,82,951.205192
1.198494,221,958.492239
0.82929,78,961.20101
1.81083,85,963.960681
1.159928,229,970.828975
1.123143,91,973.834348
1.623932,75,976.420188
0.976646,100,979.811585
4.8985,726,1013.212416
0.827228,88,1021.892196
0.744374,60,1028.162456
0.822939,275,1051.31341
0.890945,58,1057.124031
2.396765,440,1072.196425
1.086186,62,1074.876362
2.345877,241,1083.013246
3.008429,293,1092.52703
1.324985,298,1101.852948
0.815988,56,1104.03637
3.354187,331,1114.501991
1.279573,59,1116.642788
2.003032,302,1126.396923
1.110451,80,1128.984659
3.3729,356,1140.700099
3.477325,259,1148.324449
2.197612,255,1156.712264
1.863384,211,1163.076712
4.327311,218,1169.690352
2.398386,288,1178.234097
3.913066,182,1183.696301
1.515744,195,1189.592195
3.510663,192,1195.767985
2.92721,112,1199.351413
11.690017,1001,1228.699527
3.440968,826,1254.836832
5.247499,861,1280.588778
5.115781,741,1304.981458
2.81062,399,1320.926074
3.289307,701,1358.91169
2.919198,505,1376.326646
4.981727,1001,1411.886649
1.399695,130,1415.872636
4.868422,198,1422.019234
3.581875,794,1445.08966
3.648853,194,1450.766175
4.144475,215,1457.649958
2.082685,756,1481.941487
5.110984,691,1501.602734
5.138453,1001,1534.847486
3.574598,586,1551.502472
2.567511,1001,1581.187482
1.77444,84,1583.918803
2.109092,110,1587.444607
12.452883,556,1610.103409
12.397817,1001,1638.108625
5.653971,1001,1665.533526
2.746805,1001,1693.099774
5.398187,1001,1723.132495
2.691984,558,1739.333512
1.488251,195,1745.184127
3.577058,265,1755.944655
2.991659,286,1773.559743
5.044814,1001,1803.235823
3.901922,1001,1834.481401
9.28927,1001,1886.671526
7.2418,1001,1920.953746
7.578487,1001,1950.199971
9.855661,1001,1977.186712
10.546997,1001,2012.751055
8.689567,1001,2048.912882
7.926885,1001,2077.590033
3.321059,501,2091.307791
3.743281,494,2112.114184
3.771048,287,2136.099088
4.052564,832,2183.946591
2.852269,282,5816.000069
3.527386,161,5830.362531
3.193493,1001,5888.65851
2.693044,62,5890.71258
2.431756,59,5892.703646
2.597218,910,5916.976465
1.545901,64,5919.03902
2.848999,63,5921.034132
2.913321,164,5925.634957
3.330792,65,5928.166636
2.462563,77,5932.235517
2.381291,538,5947.548668
2.483156,121,5951.085985
1.56976,55,5953.027524
2.469037,72,5955.348831
2.189428,58,5957.466995
1.535673,61,5959.476556
2.127502,69,5961.610027
2.596872,64,5963.640867
2.357693,270,5971.310918
1.900638,63,5973.343158
2.229972,59,5975.418038
1.704569,61,5977.308741
2.908546,406,5988.687015
3.457554,1001,6015.940896
5.109403,611,6032.814812
2.840293,402,6044.580692
6.188272,592,6061.603195
5.45512,414,6073.139415
7.73408,652,6090.792084
3.023365,1001,6118.347321
6.272571,342,6127.641897
2.85879,824,6148.905201
6.398667,338,6157.680289
4.284829,542,6171.76936
7.815674,1001,6198.109139
2.352041,56,6199.938392
2.661792,502,6213.144525
8.994775,1001,6239.975711
18.992959,1001,6267.656851
12.273042,1001,6293.654508
17.300744,1001,6321.540052
9.176993,1001,6348.901724
1.823118,143,6353.201167
8.425674,1001,6380.935521
7.915915,597,6397.51356
17.4162,1001,6424.786286
8.440735,1001,6451.731946
10.73499,1001,6479.377796
12.804063,1001,6506.298233
4.412554,978,6532.814476
5.879073,668,6551.521997
10.136696,648,6569.102577
15.170087,1001,6597.395513
13.412569,1001,6624.814602
3.390888,1001,6652.472872
6.898262,1001,6679.750412
6.972497,1001,6707.303349
2.132183,1001,6735.36882
4.491736,441,6747.098349
3.210693,484,6760.82128
4.453124,736,6781.56915
7.859956,522,6795.961163
5.558347,734,6816.173613
3.574078,365,6825.780096
7.790509,1001,6854.150462
5.789155,652,6871.994581
1.34697,58,6873.921155
1.365005,66,6876.053449
1.284196,55,6877.903178
1.473593,62,6879.941769
1.416455,56,6881.834217
1.533471,73,6884.158796
1.228395,67,6886.275254
1.173577,189,6891.739119
5.501438,1001,6919.220082
12.581353,584,6935.506718
4.57945,855,6959.601041
3.519194,600,6976.30987
6.412503,482,6990.020223
9.240239,1001,7018.205826
8.0219,1001,7045.600243
3.85337,1001,7075.03208
2.045282,1001,7111.247915
3.309957,105,7114.6983
5.94185,1001,7145.732921
3.927073,415,7160.50194
8.083259,1001,7193.183572
3.303511,880,7225.72175
10.309101,1001,7258.399211
3.309645,1001,7296.79865
1.301145,56,7298.875947
9.80886,1001,7341.243662
1.72154,281,7352.383336
9.328585,1001,7388.667677
3.611736,326,7399.698139
3.562252,1001,7433.976372
11.180144,1001,7468.296358
1.772543,103,7473.194146
9.500395,780,7499.655201
4.101355,321,7513.387451
3.245621,116,7518.802542
5.246093,350,7535.175904
12.747546,1001,7569.260241
8.84214,1001,7600.746376
11.569453,1001,7638.116785
3.993568,108,7641.71503
4.804198,425,7657.580106
3.782624,189,7664.704125
9.505439,1001,7699.763297
18.166232,907,7736.27303
7.617476,334,7746.628108
19.363054,1001,7775.494695
4.08076,104,7778.820021
14.005649,558,7795.478868
19.163908,1001,7833.930554
13.781642,983,7866.18691
20.483878,1001,7900.695837
5.363717,176,7907.873077
7.994493,285,7916.785846
15.678361,575,7932.955916
13.001508,1001,7960.17117
3.921789,247,7967.351732
11.171684,317,7976.902206
19.813398,1001,8003.794825
22.229957,1001,8030.631073
15.657921,882,8055.066857
26.626706,1001,8082.335186
8.14198,208,8088.969922
19.425587,870,8115.21782
20.405386,1001,8143.969396
7.433563,218,8150.304401
22.723829,815,8172.67111
11.647078,597,8189.043682
13.625761,645,8207.105935
9.183957,657,8225.481476
11.085367,399,8236.6256
9.159964,403,8247.643361
5.023924,311,8257.115947
4.627202,128,8260.898048
11.409908,361,8272.370582
21.941289,864,8299.638861
4.140259,110,8303.29417
16.140591,1001,8331.828989
27.879237,1001,8360.26079
24.925685,1001,8390.345136
7.959311,233,8397.983169
21.19011,1001,8426.754959
18.08781,982,8452.423643
7.657375,328,8462.243483
6.538866,308,8470.776525
11.017879,502,8485.442572
17.734919,1001,8514.578881
22.003678,1001,8542.424143
10.457378,580,8558.815957
5.751329,180,8564.289616
10.437567,446,8576.781317
15.539329,523,8592.318263
19.499615,817,8615.766077
6.851994,192,8620.96317
4.284969,132,8625.153632
22.448294,1001,8651.182467
22.447925,1001,8677.293157
7.854697,288,8685.055539
15.23234,614,8704.270354
10.700912,874,8731.886434
18.542186,1001,8764.156972
7.467551,247,8772.349591
11.585068,1001,8803.519561
20.630218,1001,8833.279277
14.60971,1001,8860.864787
14.491417,943,8887.262066
12.480572,658,8905.431277
16.669488,1001,8933.471825
6.745743,330,8942.390615
26.772159,1001,8972.980481
22.361726,1001,9004.164029
19.774864,1001,9032.895923
21.106529,1001,9060.265396
9.304051,417,9072.270114
18.057001,1001,9100.900926
20.410384,875,9125.338011
