#{"t_start": 1672349735.9416554, "env_id": null}
r,l,t
11.482429,162,1.516151
4.188771,128,2.750112
10.151059,71,3.601749
13.782648,58,4.390562
15.190421,123,5.5958
4.737751,295,7.97682
8.852121,57,8.808073
20.084991,300,11.310358
13.684192,52,12.035498
7.091519,58,12.846132
13.404946,47,13.764155
10.212052,64,14.822755
9.145253,389,18.817916
10.794882,56,19.861245
13.62516,139,21.633514
12.260119,243,23.920129
16.720367,211,25.980365
13.452161,45,26.751507
7.163566,88,27.7885
12.015451,46,28.539775
21.033387,107,29.87222
12.748179,60,30.825672
5.473025,58,31.775832
9.353968,122,33.200214
15.863518,92,34.418378
12.2731,57,35.283992
7.578698,56,36.083447
11.685006,110,37.508456
14.37863,243,40.013456
9.316684,39,40.849854
4.834105,57,41.874414
10.738587,333,44.792645
6.982582,157,46.278455
7.565456,53,47.120902
13.520103,197,48.892577
10.510722,47,49.62042
8.602255,56,50.416512
13.528808,67,51.329955
28.035426,151,52.778845
11.358151,52,53.509805
8.836107,62,54.343515
6.423295,169,55.865491
8.621288,60,56.662598
8.425863,62,57.468848
11.714329,273,59.656884
10.906256,51,60.394102
10.521702,60,61.179291
10.356347,69,62.039131
17.124978,61,62.844216
9.636412,64,63.685091
13.160756,55,64.437666
16.126285,72,65.343629
9.24121,44,66.020612
20.100096,178,67.610577
4.20405,86,68.583119
7.690557,56,69.331284
9.510823,85,70.296407
7.692436,59,71.071475
13.255121,205,72.830074
16.941562,175,74.406319
12.118799,238,76.358912
7.953252,295,78.698273
12.939935,171,80.196562
8.871748,57,80.937995
11.450257,60,81.747979
8.62731,51,82.503067
11.762152,50,83.223613
11.404088,53,83.983892
8.495873,215,85.81285
4.437773,178,87.363219
10.336092,74,88.268176
6.924052,206,89.990356
10.370982,61,90.78079
10.37113,197,92.484529
3.568539,105,93.555393
6.437999,55,94.314668
7.876598,161,95.780485
3.949759,161,97.243318
9.075109,49,97.962328
10.568309,171,99.483752
6.419827,69,100.311951
8.150138,54,101.062967
10.766801,58,101.827013
8.12269,62,102.635174
13.081872,54,103.390534
8.658389,57,104.147691
11.413723,49,104.846049
4.983628,124,106.084879
14.226186,58,106.876855
11.55847,54,107.721151
14.991277,116,109.936551
12.393175,52,111.625378
13.24391,46,113.234925
6.56003,157,117.627204
11.271008,56,119.529551
5.656062,294,127.256578
6.585755,60,129.157591
8.783022,63,131.18917
21.89252,153,135.578748
12.471499,67,137.77183
7.523475,56,139.593049
6.331037,93,142.419608
4.235918,54,144.219664
9.640837,58,146.169661
6.720225,307,154.592063
7.474174,78,157.027924
12.0401,51,158.74342
11.288783,41,160.213347
11.71226,52,161.951796
10.607145,53,163.677314
11.156133,219,170.171799
9.269415,46,171.691237
7.056201,63,173.843071
10.163736,63,175.879008
10.922598,46,177.454761
12.210576,55,179.256196
9.102785,57,181.122519
7.808025,63,183.15428
10.35813,88,185.840991
13.083423,182,191.10669
5.401715,136,194.903489
7.75098,55,196.701612
12.701521,46,198.278014
10.215449,57,200.125919
11.863955,51,201.827898
11.902078,44,203.356401
13.504719,187,208.839735
8.326456,82,211.486048
9.897889,54,213.404691
10.57652,46,215.027581
9.830771,82,217.558588
11.438745,51,219.437871
10.233519,45,221.020299
8.45789,122,224.496259
16.757862,55,226.386331
9.42146,176,231.744767
9.075067,48,233.531943
9.234801,260,240.729872
8.305814,44,242.386675
9.094705,125,246.171575
11.23456,51,248.005986
9.596022,57,249.934483
10.710847,39,251.339308
14.553303,65,253.439146
12.73036,41,254.983244
13.943171,127,258.776535
12.684208,47,260.402093
11.658491,46,261.995341
11.148172,52,263.689236
8.112036,52,265.489271
9.577357,195,271.074893
11.09977,49,272.8417
13.120867,57,274.776231
9.764507,61,276.966636
10.217285,62,279.326326
9.948962,46,280.918771
11.560222,49,282.721335
16.508999,176,288.103476
11.387824,181,293.403398
13.745366,62,295.517193
14.625568,81,298.041286
12.690627,51,299.734281
12.262617,39,301.114362
11.857709,160,305.635576
10.791051,45,307.182418
15.451406,81,309.645735
11.346166,95,312.512182
10.392183,125,316.245898
18.234945,100,319.271473
11.472849,80,321.688479
12.07228,58,323.625841
11.714273,189,329.04245
16.021104,138,333.198638
15.653888,53,334.984005
10.482233,61,336.987143
17.527826,57,338.838185
23.010038,207,344.704534
16.561211,99,348.024363
15.539349,157,352.545974
11.495608,120,356.189159
10.301386,55,357.994087
8.06362,58,359.900597
15.717502,59,361.805465
16.481789,181,366.961945
16.318837,61,368.9473
16.895209,118,372.462034
13.795504,172,377.247996
10.468415,81,379.702749
25.442594,101,382.789837
15.53865,199,388.567927
11.446876,50,390.240518
11.881273,157,394.899157
12.756391,118,398.382898
11.779437,60,400.446643
13.334823,110,403.8357
9.781265,52,405.589524
15.478474,48,407.521347
