#{"t_start": 1672922584.6597142, "env_id": null}
r,l,t
0.08014,1323,6.456085
0.085973,641,9.522086
0.086733,2848,22.619451
0.086518,2123,30.621453
0.09491,10001,74.32445
0.088224,2321,83.270455
0.10089,1528,92.864452
0.074051,5132,116.81045
0.083299,1240,123.157452
0.468435,5661,152.76745
0.075664,7894,186.79545
0.087422,2875,201.984452
0.067865,10001,251.092451
0.067786,2215,261.716453
0.081954,3408,280.817456
0.170246,9799,329.896452
0.083721,844,337.304452
0.08568,1461,343.663451
0.096567,1515,350.277452
0.837686,3423,366.747451
0.074951,2380,382.296452
2.448829,10001,434.102451
0.076158,2639,452.952451
0.070751,5124,478.29149
0.086768,10001,525.74949
0.077625,2503,538.907492
0.077422,3641,557.164497
0.085181,4820,579.807492
0.07129,1592,588.858492
0.081221,10001,632.606489
0.069345,7332,666.23149
0.073341,3345,682.122491
0.073609,10001,727.787494
0.074957,5247,751.121494
0.147974,10001,796.95149
0.072006,3670,816.743491
0.063075,1411,823.159493
0.593665,5087,845.614491
0.073864,1779,855.290496
0.070637,3089,868.777492
0.07584,6925,900.755491
0.070904,2886,917.819827
1.808099,2176,928.289825
0.064519,5868,954.890828
0.066751,3013,968.217827
0.065758,1665,974.892827
0.071979,2831,989.837826
0.068025,4786,1010.814827
0.062464,3179,1025.364826
0.073959,8843,1065.059826
0.057781,4317,1086.210763
0.063066,5234,1109.186767
0.059097,3722,1126.506766
0.058612,9895,1169.939763
0.064089,6589,1201.088768
0.106931,2205,1212.572766
0.059828,2186,1222.372766
0.055869,2425,1234.215765
0.068212,5646,1260.207766
0.072661,8982,1300.229763
0.074394,2658,1313.310765
0.064503,6740,1344.134763
0.062654,2364,1354.260766
0.073222,10001,1400.111763
1.973152,1176,1405.409765
0.070243,3146,1420.464763
0.070236,2198,1430.019765
0.070474,6516,1460.198767
0.062122,8065,1497.804764
0.115802,2036,1506.537763
0.063243,8783,1544.983763
0.062873,1860,1554.875764
0.066587,9673,1597.990763
0.072583,4354,1617.447766
0.657853,2508,1629.845767
0.07075,4964,1652.969763
0.068983,5027,1675.912763
0.0639,3878,1700.330407
0.06719,2390,1712.728408
0.066134,10001,1751.820927
0.065064,3382,1766.267924
0.06983,5752,1799.887925
0.53882,6882,1831.089924
0.065825,2314,1841.895925
0.06504,2612,1852.235924
0.066056,4546,1871.066924
0.067099,4078,1889.440924
0.071909,3361,1905.114924
0.070552,1223,1912.730925
0.066953,3342,1925.328923
0.067447,3903,1941.700924
0.063645,1455,1949.436924
0.065514,5101,1970.039924
0.064801,8644,2009.897446
0.063905,2604,2023.503452
0.070267,10001,2077.986879
0.063986,2031,2090.41488
0.069445,10001,2145.570067
0.065171,2299,2159.450068
0.064472,1744,2168.394066
0.068112,2456,2182.117066
0.065453,4375,2204.338066
0.070728,1635,2213.697634
0.069285,1890,2225.110324
0.068346,10001,2271.13632
0.333751,7573,2310.006322
0.0683,2133,2319.689324
0.061981,3814,2338.418378
0.061381,10001,2387.235377
0.064244,1365,2392.904378
0.06822,1548,2399.217378
0.068252,7938,2432.23338
0.071097,5288,2460.453378
0.064989,9397,2501.208376
0.061589,5185,2522.267378
0.069833,4123,2541.204377
0.067184,5762,2568.303379
0.065952,2184,2577.083378
0.064422,4444,2596.777379
0.063205,2962,2609.974406
0.095409,10001,2652.898396
0.064881,2442,2672.042399
0.068695,2687,2684.146399
0.067824,3580,2699.599401
0.067263,5011,2720.187397
0.065148,3314,2736.024397
0.069204,9639,2779.063396
0.068899,1326,2785.021397
0.069482,2184,2796.464398
0.070062,2942,2810.980396
0.064675,3029,2823.618397
0.062967,3183,2838.998399
0.070044,10001,2885.475396
0.06689,1988,2893.984401
0.066169,1314,2899.935402
0.066547,6901,2932.024398
0.066123,6602,2962.960396
0.477332,9685,3009.211397
0.068068,5189,3032.844399
0.062556,952,3037.405398
0.067916,4298,3059.440396
0.062027,8195,3096.960396
0.064806,2106,3106.044396
0.064069,5367,3130.449397
0.064948,1177,3137.952398
0.062607,1639,3145.278399
0.064649,2805,3159.057397
0.066069,7924,3195.176399
0.063196,3116,3208.334398
0.064268,3782,3225.988398
2.027993,5713,3253.415398
0.064359,4069,3272.359396
0.066484,1074,3277.441399
0.06454,5710,3302.754396
0.072873,3868,3320.886395
0.068171,3910,3345.615154
0.369005,6384,3373.910154
0.068796,4134,3391.684152
0.068109,10001,3433.618153
0.065945,1033,3440.251153
0.069749,968,3444.515154
0.063833,10001,3485.380152
0.071476,1827,3494.672163
0.065394,5560,3517.678153
0.066493,1928,3525.458155
0.068808,1037,3532.280153
0.068238,2908,3543.592154
0.067476,6766,3572.590152
0.069456,2488,3584.213153
0.072477,926,3588.422153
0.067716,960,3592.656153
0.069553,1997,3602.646153
0.069583,6636,3629.285153
0.073891,2376,3640.529153
0.06758,4017,3657.884158
0.073092,10001,3699.336157
0.066251,7398,3730.851153
0.06317,1147,3735.764153
0.068376,5704,3764.66871
0.068002,930,3770.324711
0.069606,5466,3793.278711
0.070983,5821,3819.23871
0.067297,3460,3834.693716
0.066292,2184,3843.530716
0.062519,10001,3886.42471
0.065215,1103,3891.473711
0.068737,8035,3930.258712
0.061976,2284,3939.994711
0.20848,4973,3962.620717
0.068798,882,3966.788711
0.06542,1246,3972.265711
0.066827,2366,3983.601711
0.06684,3938,4000.565711
0.064789,9275,4038.999709
0.063833,2737,4051.644711
0.066561,958,4055.887715
0.066744,2183,4064.998712
0.091311,4456,4083.937712
0.06666,2352,4095.157711
0.064671,5486,4117.66771
0.070296,3035,4131.376714
0.066367,1434,4137.309715
0.061528,857,4143.065711
0.064993,946,4147.261714
0.066786,5200,4168.753714
0.06848,1154,4173.754711
0.064768,889,4179.64671
0.070177,875,4183.700715
0.067238,9721,4223.81971
0.066937,5452,4248.25271
0.066859,3828,4262.824712
0.067989,4283,4282.890711
0.062361,2869,4294.070709
0.068065,695,4297.292711
0.064375,2571,4309.306715
0.063372,924,4313.441711
0.066586,903,4317.468711
0.064387,2762,4330.491711
0.067589,3362,4345.470712
0.066254,3474,4360.645711
0.071473,8769,4396.857711
0.158176,5084,4417.80071
0.06579,9957,4462.647308
0.065498,609,4466.036311
0.068226,565,4468.995312
0.069626,611,4472.166312
0.063975,391,4474.660313
0.067308,550,4477.70631
0.06548,594,4480.736308
3.298377,6944,4513.42231
0.06684,952,4517.99431
0.063049,5525,4544.254309
0.067602,1803,4552.175311
0.064915,9635,4596.803308
0.065496,2989,4609.44731
