#{"t_start": 1672315235.6108656, "env_id": null}
r,l,t
1.032694,70,0.581596
0.897071,102,1.31431
1.181988,76,1.910542
0.455319,42,2.381556
0.976498,51,2.912459
0.678757,34,3.381012
0.083865,41,3.882885
1.715922,29,4.328184
1.278136,70,4.899056
0.589138,49,5.397676
0.053701,51,5.912623
1.227311,173,6.680279
0.336433,44,7.174621
0.723987,45,7.677403
0.279043,49,8.200653
0.097663,44,8.681285
0.808739,44,9.191918
0.763513,37,9.678314
0.71303,149,10.412086
0.973701,70,10.945199
0.009973,24,11.395557
1.756753,84,11.980202
0.084982,34,12.47149
0.899534,42,12.945859
0.01652,42,13.446202
0,16,13.859158
0.092619,17,14.29385
0.967244,90,14.907905
1.711368,54,15.397264
0.43404,51,15.913481
0.439055,61,16.461101
0.145161,40,16.938546
1.129598,19,17.381539
0.570313,85,17.975988
0.760987,41,18.480939
0.081663,64,19.022167
0.048788,29,19.494236
0.170885,49,19.996323
0.432295,77,20.592491
0.538692,34,21.06113
0.098655,36,21.547115
0.032278,70,22.078366
0.300028,64,22.666284
0.153093,26,23.110154
0.336259,18,23.553485
3.150514,39,24.038738
1.027242,31,24.506797
0.407639,37,25.029692
0.517075,31,25.506299
1.039901,86,26.09174
0.992189,28,26.53729
0.01203,82,27.14618
0.844304,43,27.613103
0.509474,96,28.228302
0.104894,53,28.771732
0.338667,40,29.259
0.219193,43,29.771418
0.398871,73,30.344656
0.197537,42,30.846413
0.494104,58,31.378036
0.14592,25,31.838655
0.232921,50,32.345423
0.051927,52,32.877781
1.000554,37,33.350767
0.756816,46,33.864072
0.381606,40,34.344614
0.690876,26,34.811177
0.350773,19,35.235303
1.138885,100,35.860869
1.047214,43,36.352755
0.327726,55,36.864077
0.618903,52,37.374044
0.27828,57,37.911412
0.51121,34,38.393496
0.005669,16,38.86193
0.107082,30,39.333763
0.112626,35,39.818856
0.177642,47,40.330115
0,48,40.836078
0.095233,36,41.31391
1.270678,26,41.779313
